Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,53.310001,53.400002,51.939999,52.009998,50.242733,2404500
2015-07-28,52.250000,52.650002,51.849998,52.450001,50.667789,2095600
2015-07-29,52.700001,53.470001,52.360001,53.340000,51.527542,1941900
2015-07-30,53.189999,53.450001,53.000000,53.360001,51.546864,1220200
2015-07-31,53.529999,53.529999,52.939999,53.049999,51.247398,1638300
2015-08-03,53.169998,53.340000,52.660000,53.290001,51.479237,1757700
2015-08-04,53.110001,54.720001,52.939999,53.709999,51.884972,2143900
2015-08-05,53.910000,55.020000,53.910000,54.230000,52.387299,1091400
2015-08-06,54.130001,55.209999,54.130001,55.040001,53.169777,2242900
2015-08-07,54.830002,55.169998,54.680000,54.939999,53.073170,1308800
2015-08-10,55.330002,56.230000,55.320000,56.080002,54.174438,1577100
2015-08-11,55.270000,55.820000,55.240002,55.630001,53.739735,1228100
2015-08-12,54.580002,55.630001,54.570000,55.490002,53.604481,1221400
2015-08-13,55.340000,56.340000,55.259998,56.049999,54.145458,979100
2015-08-14,55.970001,56.740002,55.869999,56.660000,54.734737,1055600
2015-08-17,56.459999,57.529999,56.040001,57.500000,55.546188,1348400
2015-08-18,57.450001,57.669998,57.330002,57.500000,55.546188,1329300
2015-08-19,57.040001,57.139999,56.240002,56.540001,54.618805,1038500
2015-08-20,56.150002,56.290001,55.060001,55.060001,53.189102,989700
2015-08-21,54.639999,55.000000,53.830002,53.840000,52.010548,1748100
2015-08-24,50.810001,53.209999,50.549999,52.580002,50.793373,3697200
2015-08-25,53.930000,54.060001,51.480000,51.490002,49.740402,1768900
2015-08-26,52.700001,53.400002,51.869999,53.209999,51.401958,2576500
2015-08-27,53.799999,54.740002,53.450001,54.740002,52.879978,1554600
2015-08-28,54.430000,55.099998,54.180000,54.770000,52.908951,1816400
2015-08-31,54.470001,54.470001,53.650002,53.820000,51.991245,1912200
2015-09-01,52.650002,52.889999,51.520000,51.840000,50.078503,1706300
2015-09-02,52.450001,52.759998,51.770000,52.730000,50.938263,2055600
2015-09-03,52.790001,53.330002,52.580002,52.779999,50.986572,1190000
2015-09-04,52.029999,52.369999,51.810001,51.930000,50.165455,1065800
2015-09-08,52.950001,53.660000,52.660000,53.619999,51.798027,1195500
2015-09-09,54.160000,54.340000,52.869999,52.990002,51.189434,747100
2015-09-10,53.009998,53.259998,52.560001,52.930000,51.131474,677700
2015-09-11,52.779999,53.220001,52.400002,53.220001,51.411621,695600
2015-09-14,53.080002,53.450001,52.360001,52.680000,50.976173,763600
2015-09-15,52.889999,53.509998,52.669998,53.389999,51.663208,687400
2015-09-16,53.349998,53.869999,53.240002,53.770000,52.030922,899400
2015-09-17,53.840000,54.509998,53.419998,53.500000,51.769657,925000
2015-09-18,52.689999,52.869999,52.029999,52.160000,50.472992,1476100
2015-09-21,52.310001,52.560001,51.919998,52.169998,50.482670,886100
2015-09-22,51.369999,51.700001,50.910000,51.529999,49.863361,1503600
2015-09-23,51.639999,51.810001,51.320000,51.560001,49.892403,1238700
2015-09-24,51.049999,51.599998,50.639999,51.520000,49.853691,2203800
2015-09-25,52.070000,52.259998,51.700001,52.020000,50.337524,1279600
2015-09-28,51.540001,51.660000,50.680000,50.830002,49.186008,1780700
2015-09-29,51.049999,51.490002,50.709999,51.130001,49.476307,937000
2015-09-30,51.720001,52.389999,51.630001,52.320000,50.627819,2361600
2015-10-01,52.430000,52.669998,51.110001,51.860001,50.182701,1704300
2015-10-02,50.970001,53.290001,50.970001,53.279999,51.556767,1070300
2015-10-05,53.910000,54.779999,52.990002,54.730000,52.959866,1165800
2015-10-06,54.639999,55.110001,54.240002,54.459999,52.698605,944000
2015-10-07,54.820000,55.650002,54.490002,55.150002,53.366291,1003200
2015-10-08,54.930000,55.959999,54.750000,55.910000,54.101711,1093200
2015-10-09,55.930000,56.380001,55.810001,56.020000,54.208149,1050600
2015-10-12,55.939999,56.130001,55.660000,55.779999,53.975914,1015200
2015-10-13,55.270000,55.529999,54.720001,54.930000,53.153412,1703600
2015-10-14,54.799999,54.910000,54.000000,54.110001,52.359924,1453200
2015-10-15,54.349998,54.599998,53.610001,54.529999,52.766342,939000
2015-10-16,54.500000,54.500000,53.540001,54.099998,52.350246,1132600
2015-10-19,53.959999,54.340000,53.700001,54.279999,52.524422,793400
2015-10-20,54.099998,55.029999,53.930000,54.599998,52.834072,1470600
2015-10-21,54.820000,55.540001,54.540001,54.619999,52.853428,980900
2015-10-22,54.869999,56.130001,54.830002,55.630001,53.830761,1405600
2015-10-23,56.099998,56.150002,55.330002,55.860001,54.053322,1374700
2015-10-26,55.950001,56.529999,55.860001,56.299999,54.479095,2808300
2015-10-27,53.720001,54.450001,52.310001,53.759998,52.021244,4105800
2015-10-28,53.709999,54.259998,53.360001,54.220001,52.466362,1836600
2015-10-29,54.549999,55.430000,54.549999,54.680000,52.911488,2265200
2015-10-30,54.880001,55.369999,54.650002,54.820000,53.046970,2182600
2015-11-02,54.869999,55.700001,54.740002,55.439999,53.646900,1067800
2015-11-03,55.330002,55.970001,55.169998,55.720001,53.917862,1347600
2015-11-04,55.830002,56.509998,55.720001,56.180000,54.362976,1489300
2015-11-05,56.139999,56.820000,56.119999,56.480000,54.653275,967200
2015-11-06,56.240002,56.580002,55.770000,56.209999,54.392006,741400
2015-11-09,56.029999,56.189999,55.430000,56.020000,54.208149,849400
2015-11-10,55.740002,56.090000,55.189999,55.970001,54.159767,693400
2015-11-11,56.279999,56.459999,55.730000,55.770000,53.966236,967100
2015-11-12,55.290001,55.549999,54.029999,54.090000,52.340569,1293600
2015-11-13,53.869999,54.380001,53.730000,53.759998,52.021244,874600
2015-11-16,53.750000,54.910000,53.560001,54.900002,53.124374,957400
2015-11-17,54.930000,55.139999,54.090000,54.240002,52.485714,1121800
2015-11-18,54.529999,55.990002,54.330002,55.930000,54.121059,1107800
2015-11-19,55.950001,56.070000,55.639999,55.790001,53.985580,1066900
2015-11-20,56.049999,56.549999,55.889999,56.220001,54.401688,924200
2015-11-23,56.150002,56.450001,56.020000,56.310001,54.488762,701300
2015-11-24,56.110001,56.619999,55.779999,56.459999,54.633915,1177000
2015-11-25,56.500000,56.680000,56.290001,56.459999,54.633915,1221700
2015-11-27,56.500000,56.970001,56.439999,56.860001,55.020988,426700
2015-11-30,56.779999,57.000000,56.389999,56.459999,54.633915,1555800
2015-12-01,56.619999,56.930000,56.340000,56.669998,54.837128,1195200
2015-12-02,56.490002,56.570000,55.740002,55.799999,54.081150,1323700
2015-12-03,55.820000,56.000000,54.270000,54.709999,53.024731,1371100
2015-12-04,54.779999,55.520000,54.599998,55.310001,53.606247,1754400
2015-12-07,54.970001,55.220001,54.680000,55.110001,53.412415,1008200
2015-12-08,54.619999,54.740002,53.810001,53.830002,52.171837,1255800
2015-12-09,53.470001,54.840000,53.470001,54.000000,52.336590,1828400
2015-12-10,53.930000,54.430000,53.849998,54.080002,52.414131,2388900
2015-12-11,53.509998,53.599998,52.849998,52.910000,51.280170,1681300
2015-12-14,52.990002,53.450001,52.910000,53.419998,51.774467,2154600
2015-12-15,53.889999,53.959999,53.250000,53.330002,51.687252,2063500
2015-12-16,53.830002,54.549999,53.389999,54.349998,52.675816,2042600
2015-12-17,54.380001,54.580002,53.419998,53.549999,51.900463,1931100
2015-12-18,53.290001,53.599998,52.919998,52.950001,51.318947,3289900
2015-12-21,53.349998,53.560001,52.810001,53.080002,51.444935,1264800
2015-12-22,53.349998,53.560001,53.040001,53.419998,51.774467,2324000
2015-12-23,53.779999,54.509998,53.590000,54.169998,52.501366,1461500
2015-12-24,53.959999,54.470001,53.959999,54.290001,52.617672,386900
2015-12-28,54.169998,54.259998,53.650002,53.939999,52.278446,707300
2015-12-29,54.419998,54.700001,54.009998,54.549999,52.869656,528800
2015-12-30,54.470001,54.630001,54.139999,54.180000,52.511055,600100
2015-12-31,53.910000,54.250000,53.580002,53.590000,51.939224,708700
2016-01-04,52.860001,52.930000,52.279999,52.650002,51.028194,1942300
