Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,60.340000,60.340000,58.750000,59.090000,49.923386,2620100
2015-07-28,59.430000,59.439999,58.209999,58.900002,49.762859,2096300
2015-07-29,59.099998,59.680000,58.599998,59.230000,50.041668,1472500
2015-07-30,59.369999,60.029999,58.950001,59.119999,49.948738,1081600
2015-07-31,59.270000,59.869999,58.950001,59.200001,50.016323,1251500
2015-08-03,59.000000,59.590000,58.200001,59.020000,49.864246,1400100
2015-08-04,59.450001,61.020000,59.139999,60.529999,51.139999,1855700
2015-08-05,61.150002,62.040001,60.230000,61.619999,52.060909,2368600
2015-08-06,65.940002,67.160004,62.910000,63.000000,53.226837,5808100
2015-08-07,62.669998,63.619999,57.779999,58.939999,49.796650,4121900
2015-08-10,59.570000,62.270000,59.090000,60.950001,51.494846,4793600
2015-08-11,59.230000,59.689999,56.740002,57.270000,48.385719,4470500
2015-08-12,56.880001,62.009998,56.580002,61.639999,52.352043,6556300
2015-08-13,61.959999,63.900002,60.700001,63.220001,53.693974,2862000
2015-08-14,63.610001,65.120003,63.150002,63.830002,54.212055,3147300
2015-08-17,63.830002,64.050003,62.779999,64.029999,54.381916,1763700
2015-08-18,63.689999,63.799999,62.799999,63.470001,53.906292,2097000
2015-08-19,63.290001,63.549999,61.880001,61.930000,52.598343,1767800
2015-08-20,61.700001,62.509998,60.470001,61.070000,51.867924,2102700
2015-08-21,60.799999,60.820000,59.220001,59.520000,50.551487,2531400
2015-08-24,56.049999,59.869999,55.400002,55.900002,47.476955,3180600
2015-08-25,59.049999,59.360001,55.750000,55.790001,47.383522,2338100
2015-08-26,56.980000,57.009998,54.630001,56.110001,47.655308,3260000
2015-08-27,57.490002,58.259998,56.360001,57.880001,49.158600,2321000
2015-08-28,57.430000,57.700001,56.660000,57.470001,48.810379,2415100
2015-08-31,57.450001,58.540001,56.930000,57.380001,48.733944,2285200
2015-09-01,55.900002,57.070000,54.299999,54.840000,46.576668,3155400
2015-09-02,55.570000,56.080002,54.439999,55.549999,47.179688,2107300
2015-09-03,55.590000,57.230000,55.480000,56.970001,48.385723,2438700
2015-09-04,55.889999,56.570000,55.200001,55.480000,47.120235,1546300
2015-09-08,56.860001,57.439999,56.330002,56.910000,48.334759,1569300
2015-09-09,57.869999,58.900002,56.810001,56.959999,48.377232,1631200
2015-09-10,56.849998,57.080002,56.000000,56.400002,47.901615,872200
2015-09-11,55.869999,56.410000,55.000000,55.880001,47.459965,1358100
2015-09-14,55.919998,56.000000,53.660000,53.849998,45.735844,2836600
2015-09-15,53.889999,55.000000,53.320000,54.779999,46.525715,2067400
2015-09-16,54.759998,55.250000,54.500000,54.779999,46.525715,1620000
2015-09-17,54.700001,55.740002,53.720001,53.849998,45.735844,2014800
2015-09-18,53.360001,53.360001,51.549999,52.029999,44.190075,4422700
2015-09-21,52.520000,53.000000,51.430000,51.720001,43.926804,1375200
2015-09-22,50.930000,51.369999,49.900002,51.099998,43.400215,4703800
2015-09-23,51.310001,51.599998,47.360001,47.740002,40.546501,3225600
2015-09-24,47.270000,47.730000,45.500000,46.419998,39.425407,5144800
2015-09-25,47.070000,47.169998,46.119999,46.369999,39.382938,3829500
2015-09-28,45.889999,46.099998,44.049999,44.060001,37.421005,2524200
2015-09-29,44.250000,45.160000,43.880001,44.189999,37.531418,2486600
2015-09-30,44.869999,45.529999,43.980000,44.900002,38.134438,3822400
2015-10-01,44.970001,45.439999,44.029999,44.799999,38.049507,2517400
2015-10-02,44.000000,47.419998,43.849998,47.110001,40.011433,3561200
2015-10-05,47.700001,49.840000,47.650002,49.040001,41.650623,3874300
2015-10-06,48.820000,50.150002,48.820000,49.549999,42.083775,2780700
2015-10-07,49.459999,52.279999,49.380001,52.220001,44.351456,4222700
2015-10-08,51.730000,53.320000,51.400002,52.860001,44.895020,2981000
2015-10-09,53.340000,53.669998,50.669998,50.779999,43.128433,2529400
2015-10-12,50.380001,50.730000,49.259998,50.380001,42.788700,2107900
2015-10-13,49.930000,51.599998,49.240002,51.080002,43.383240,3530900
2015-10-14,51.400002,52.700001,50.910000,52.529999,44.614738,2660300
2015-10-15,52.820000,53.650002,51.869999,53.410000,45.362141,2668800
2015-10-16,53.560001,53.680000,51.740002,52.320000,44.436382,2153600
2015-10-19,52.000000,52.209999,51.119999,51.480000,43.722961,2130100
2015-10-20,51.610001,52.990002,51.459999,51.770000,43.969265,1593600
2015-10-21,52.549999,53.000000,51.130001,52.209999,44.342964,2615900
2015-10-22,52.560001,53.990002,52.270000,53.700001,45.608456,2228000
2015-10-23,54.209999,54.270000,53.430000,54.119999,45.965164,2087900
2015-10-26,53.759998,54.070000,52.880001,53.099998,45.098854,1701300
2015-10-27,52.610001,52.869999,51.180000,51.570000,43.799397,1807700
2015-10-28,51.610001,52.400002,51.020000,52.259998,44.385429,2016500
2015-10-29,52.209999,52.209999,51.029999,51.299999,43.570084,1664500
2015-10-30,51.380001,51.830002,50.500000,50.770000,43.119953,2875200
2015-11-02,51.009998,52.660000,50.630001,52.349998,44.461876,2798200
2015-11-03,52.130001,53.130001,51.349998,51.959999,44.130634,2132500
2015-11-04,52.220001,52.919998,51.299999,51.759998,43.960758,2423000
2015-11-05,48.610001,48.980000,45.700001,46.840000,39.782116,9152000
2015-11-06,46.799999,47.389999,46.009998,46.520000,39.510330,3656800
2015-11-09,46.380001,48.310001,46.119999,48.169998,40.911713,4186300
2015-11-10,48.009998,48.330002,47.139999,47.340000,40.206772,2767400
2015-11-11,47.520000,48.060001,46.070000,47.610001,40.436100,2469200
2015-11-12,46.930000,47.840000,46.669998,47.110001,40.265160,2677600
2015-11-13,47.130001,48.660000,46.720001,48.049999,41.068569,2304000
2015-11-16,47.759998,48.270000,46.939999,47.970001,41.000195,2307400
2015-11-17,49.759998,50.860001,48.279999,49.490002,42.299358,3720600
2015-11-18,49.360001,50.369999,49.049999,49.580002,42.376282,2529700
2015-11-19,48.950001,49.000000,46.439999,46.570000,39.803608,4682900
2015-11-20,46.360001,46.799999,43.570000,43.900002,37.521549,6019000
2015-11-23,43.790001,45.470001,43.650002,45.000000,38.461720,3765400
2015-11-24,44.910000,46.000000,44.000000,45.799999,39.145493,2698300
2015-11-25,45.689999,46.150002,45.049999,45.369999,38.777958,1358000
2015-11-27,45.209999,45.330002,44.599998,45.110001,38.555740,1031100
2015-11-30,45.040001,46.610001,44.930000,46.139999,39.436089,3049500
2015-12-01,46.450001,46.750000,44.799999,45.000000,38.461720,2580600
2015-12-02,46.590000,46.590000,44.250000,45.060001,38.513004,2812700
2015-12-03,45.349998,46.669998,45.250000,45.860001,39.196770,3297600
2015-12-04,45.490002,45.869999,44.130001,44.439999,37.983089,3110400
2015-12-07,44.110001,44.119999,42.369999,43.250000,36.965996,2816800
2015-12-08,42.580002,43.380001,41.830002,42.080002,35.965992,2465400
2015-12-09,42.680000,43.770000,42.299999,43.119999,36.854877,2196300
2015-12-10,43.090000,43.709999,42.099998,42.240002,36.102741,1298700
2015-12-11,42.240002,42.340000,40.330002,41.110001,35.136925,2740700
2015-12-14,40.810001,41.380001,39.639999,40.070000,34.248035,2195700
2015-12-15,40.349998,41.480000,40.189999,40.810001,34.880512,2161800
2015-12-16,41.490002,42.040001,40.160000,41.430000,35.410431,2483100
2015-12-17,41.310001,42.049999,40.529999,41.240002,35.248043,3183600
2015-12-18,41.110001,43.000000,41.080002,41.610001,35.564274,4144300
2015-12-21,41.759998,43.790001,41.110001,41.320000,35.316418,2648400
2015-12-22,41.340000,43.029999,40.970001,42.740002,36.530090,2161000
2015-12-23,42.950001,44.599998,42.730000,44.169998,37.752319,2343500
2015-12-24,44.090000,44.360001,43.200001,43.250000,36.965996,1650100
2015-12-28,43.040001,43.410000,42.090000,42.240002,36.102741,1373300
2015-12-29,42.380001,42.990002,42.049999,42.639999,36.444626,1612000
2015-12-30,42.389999,42.580002,41.060001,41.160000,35.179665,1568700
2015-12-31,40.750000,41.290001,40.470001,40.810001,34.880512,2020100
2016-01-04,40.060001,40.950001,39.830002,40.500000,34.615547,3262500
2016-01-05,40.380001,40.660000,39.150002,39.230000,33.530075,2690000
2016-01-06,38.650002,38.709999,35.270000,35.840000,30.632624,4711800
2016-01-07,35.310001,36.660000,33.689999,34.139999,29.179634,5010600
2016-01-08,34.400002,35.099998,33.709999,33.820000,28.906122,4130100
2016-01-11,34.009998,34.070000,32.259998,32.450001,27.735184,3657100
2016-01-12,33.130001,33.380001,31.680000,32.540001,27.812099,4327700
2016-01-13,32.869999,33.410000,31.559999,31.760000,27.145433,5147200
2016-01-14,31.969999,33.150002,31.170000,32.619999,27.880478,3893000
2016-01-15,31.629999,32.459999,30.920000,31.570000,26.983040,4766300
2016-01-19,32.040001,32.139999,29.879999,30.250000,25.854826,3758300
2016-01-20,29.879999,29.879999,26.100000,29.219999,24.974480,10964700
2016-01-21,29.180000,31.110001,29.120001,30.270000,25.871923,5881700
2016-01-22,31.110001,32.029999,29.660000,29.959999,25.606962,6338700
2016-01-25,29.490000,29.549999,28.240000,28.600000,24.444563,4118900
2016-01-26,28.469999,29.850000,28.000000,29.490000,25.205250,4090400
2016-01-27,29.850000,30.969999,28.980000,30.059999,25.692434,4075500
2016-01-28,30.219999,30.500000,29.400000,30.330000,25.923204,3438100
2016-01-29,30.379999,30.850000,29.719999,30.000000,25.641146,4995800
2016-02-01,29.910000,30.639999,28.969999,30.240000,25.846279,3907600
2016-02-02,30.100000,30.100000,28.740000,29.450001,25.171068,3132800
2016-02-03,29.770000,30.230000,28.209999,30.049999,25.683884,5209200
2016-02-04,30.200001,30.830000,29.600000,30.590000,26.145428,5454100
2016-02-05,30.340000,30.680000,29.420000,29.969999,25.615507,4216800
2016-02-08,29.200001,29.389999,26.740000,28.010000,23.940287,5207100
2016-02-09,27.719999,29.740000,27.400000,28.469999,24.333450,4988200
2016-02-10,28.379999,29.040001,27.760000,27.830000,24.039755,2537700
2016-02-11,26.910000,29.420000,26.290001,29.040001,25.084963,5154700
2016-02-12,29.809999,30.639999,28.980000,30.000000,25.914215,6065900
2016-02-16,30.459999,31.690001,29.690001,31.139999,26.898958,6133300
2016-02-17,31.290001,32.290001,30.820000,31.700001,27.382696,5982800
2016-02-18,33.000000,34.490002,32.730000,34.369999,29.689054,7372000
2016-02-19,34.189999,34.189999,32.810001,33.000000,28.505644,5569800
2016-02-22,33.000000,34.040001,33.000000,33.540001,28.972099,3942600
2016-02-23,33.049999,33.450001,32.099998,32.130001,27.754131,3902300
2016-02-24,31.840000,31.980000,30.040001,31.750000,27.425882,5881600
2016-02-25,32.130001,33.650002,31.570000,33.160000,28.643852,4092700
2016-02-26,33.529999,35.130001,33.529999,34.950001,30.190071,5623300
2016-02-29,35.080002,37.139999,34.930000,36.459999,31.494410,6216700
2016-03-01,37.000000,37.720001,35.830002,36.250000,31.313013,3386900
2016-03-02,35.000000,35.930000,34.389999,34.740002,30.008667,5036700
2016-03-03,35.259998,36.389999,34.849998,36.189999,31.261189,3969700
2016-03-04,36.430000,36.930000,34.509998,34.590000,29.879095,6190100
2016-03-07,34.779999,37.080002,34.599998,36.880001,31.857210,5204700
2016-03-08,36.639999,37.020000,35.230000,35.259998,30.457846,3753100
2016-03-09,35.529999,36.189999,34.700001,35.419998,30.596056,3198900
2016-03-10,35.380001,35.419998,32.889999,33.639999,29.058475,4271400
2016-03-11,34.610001,36.639999,34.459999,35.639999,30.786091,4947100
