Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,42.095001,42.320000,41.965000,42.310001,38.536179,641400
2015-07-28,42.400002,42.775002,42.320000,42.755001,38.941494,876200
2015-07-29,42.705002,43.195000,42.705002,43.160000,39.310371,738400
2015-07-30,43.099998,43.395000,42.735001,43.389999,39.519844,749000
2015-07-31,43.500000,43.520000,43.115002,43.165001,39.314926,1064800
2015-08-03,43.165001,43.705002,43.154999,43.695000,39.797649,1278000
2015-08-04,43.889999,44.244999,43.705002,44.005001,40.080013,1262800
2015-08-05,44.139999,45.020000,44.029999,44.744999,40.753990,1859600
2015-08-06,44.904999,44.990002,44.334999,44.674999,40.690247,1113000
2015-08-07,44.415001,44.529999,44.264999,44.520000,40.855419,1450400
2015-08-10,44.645000,44.875000,44.470001,44.590000,40.919655,772000
2015-08-11,44.314999,44.455002,44.099998,44.215000,40.575531,1013400
2015-08-12,43.904999,44.544998,43.665001,44.544998,40.878365,1378400
2015-08-13,44.509998,44.775002,44.400002,44.630001,40.956379,635800
2015-08-14,44.660000,44.840000,44.500000,44.825001,41.135319,545800
2015-08-17,44.740002,45.160000,44.450001,45.160000,41.442753,1109800
2015-08-18,45.230000,45.365002,44.950001,45.285000,41.557457,939400
2015-08-19,45.075001,45.075001,44.685001,44.875000,41.181202,947400
2015-08-20,44.570000,44.750000,44.299999,44.325001,40.676472,910400
2015-08-21,44.095001,44.250000,43.349998,43.349998,39.781738,1066200
2015-08-24,41.365002,43.080002,41.119999,42.490002,38.992516,3016800
2015-08-25,43.365002,43.500000,41.445000,41.474998,38.061066,1695800
2015-08-26,42.270000,42.605000,41.410000,42.494999,38.997101,1375400
2015-08-27,42.924999,43.294998,42.455002,43.270000,39.708321,1398200
2015-08-28,43.185001,43.544998,42.830002,43.424999,39.850563,1961200
2015-08-31,43.285000,43.494999,42.755001,43.139999,39.589012,2001400
2015-09-01,42.490002,42.700001,41.830002,41.959999,38.506142,1407200
2015-09-02,42.240002,42.505001,42.040001,42.424999,38.932865,1556800
2015-09-03,42.605000,43.154999,42.450001,43.014999,39.474312,839200
2015-09-04,42.525002,42.755001,42.340000,42.465000,38.969574,1085000
2015-09-08,43.009998,43.270000,42.654999,43.255001,39.694550,1202200
2015-09-09,43.500000,43.660000,42.535000,42.615002,39.107231,1030200
2015-09-10,42.500000,42.884998,42.340000,42.494999,38.997101,933400
2015-09-11,41.634998,42.205002,41.505001,42.044998,38.584145,2118000
2015-09-14,42.064999,42.095001,41.575001,41.715000,38.281315,1134800
2015-09-15,41.799999,42.250000,41.709999,42.119999,38.652977,984600
2015-09-16,42.119999,42.314999,42.014999,42.235001,38.758514,1542200
2015-09-17,42.299999,42.810001,42.189999,42.419998,38.928284,1213800
2015-09-18,42.115002,42.334999,41.860001,41.945000,38.492382,2013800
2015-09-21,42.215000,42.494999,42.049999,42.400002,38.909927,673600
2015-09-22,42.000000,42.270000,41.764999,41.994999,38.538261,985200
2015-09-23,42.090000,42.230000,41.865002,42.049999,38.588745,709400
2015-09-24,41.900002,42.430000,41.755001,42.384998,38.896164,1787400
2015-09-25,42.755001,43.220001,42.529999,42.814999,39.290768,1278200
2015-09-28,42.634998,42.910000,42.119999,42.220001,38.744743,1050800
2015-09-29,42.195000,42.395000,42.025002,42.264999,38.786045,1254800
2015-09-30,42.584999,43.000000,41.895000,41.950001,38.496967,3490200
2015-10-01,42.000000,42.099998,41.595001,41.900002,38.451084,2268000
2015-10-02,41.625000,42.564999,41.610001,42.564999,39.061348,1403800
2015-10-05,42.904999,43.279999,42.705002,43.195000,39.639488,3177200
2015-10-06,43.174999,43.195000,42.715000,42.779999,39.258652,1395400
2015-10-07,42.945000,43.355000,42.709999,43.250000,39.689957,1987800
2015-10-08,43.165001,43.540001,43.040001,43.525002,39.942322,1140400
2015-10-09,43.580002,43.919998,43.514999,43.810001,40.203869,772000
2015-10-12,43.875000,44.259998,43.834999,44.150002,40.515892,1629600
2015-10-13,44.000000,44.305000,43.865002,43.965000,40.346104,997600
2015-10-14,43.990002,44.099998,43.419998,43.480000,39.901028,741800
2015-10-15,43.744999,43.880001,43.494999,43.759998,40.157982,625200
2015-10-16,43.855000,44.230000,43.775002,44.185001,40.548004,550600
2015-10-19,44.130001,44.360001,44.000000,44.105000,40.474586,1219400
2015-10-20,44.150002,44.259998,43.930000,44.049999,40.424110,617800
2015-10-21,44.215000,44.365002,43.860001,43.904999,40.291046,539000
