Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,96.040001,96.489998,95.199997,95.550003,78.395370,755900
2015-07-28,96.300003,96.589996,95.400002,96.160004,78.895859,1194800
2015-07-29,95.940002,97.180000,95.559998,97.010002,79.593246,1391300
2015-07-30,96.860001,97.919998,96.389999,97.010002,79.593246,1343700
2015-07-31,96.970001,97.050003,95.730003,96.040001,78.797401,1522200
2015-08-03,96.370003,97.110001,96.089996,96.970001,79.560432,1194000
2015-08-04,96.860001,97.209999,96.150002,96.690002,79.330719,1032100
2015-08-05,97.650002,98.080002,96.900002,97.889999,80.315247,1762800
2015-08-06,98.269997,98.269997,96.510002,97.089996,79.658875,1105800
2015-08-07,96.970001,97.410004,96.410004,97.239998,79.781960,832100
2015-08-10,98.129997,98.389999,97.629997,98.000000,80.405510,918700
2015-08-11,97.599998,97.949997,96.800003,97.250000,79.790176,1294000
2015-08-12,96.739998,97.150002,95.010002,97.019997,79.601440,1399100
2015-08-13,96.940002,98.040001,96.180000,97.720001,80.175758,1471800
2015-08-14,97.879997,98.260002,97.449997,98.160004,80.536781,1123600
2015-08-17,97.650002,98.370003,97.220001,98.250000,80.610619,1015900
2015-08-18,98.269997,98.660004,98.019997,98.290001,80.643433,1097400
2015-08-19,98.040001,98.250000,96.500000,97.230003,79.773750,1700200
2015-08-20,96.260002,97.040001,95.419998,96.059998,78.813797,1898000
2015-08-21,95.430000,95.629997,91.599998,91.639999,75.187355,3452700
2015-08-24,88.459999,91.599998,84.330002,88.739998,72.807999,3557200
2015-08-25,90.720001,91.690002,89.059998,89.099998,73.103340,2799600
2015-08-26,91.169998,92.230003,89.230003,91.739998,75.269394,1757000
2015-08-27,92.589996,93.769997,91.970001,93.769997,76.934929,1648700
2015-08-28,93.559998,94.949997,93.029999,94.620003,77.632332,1392700
2015-08-31,94.489998,95.000000,93.110001,94.440002,77.484665,2318300
2015-09-01,92.349998,92.629997,90.680000,91.120003,74.760704,1689900
2015-09-02,92.190002,92.730003,91.669998,92.559998,75.942184,1187900
2015-09-03,92.879997,94.629997,92.519997,93.809998,76.967743,1249500
2015-09-04,92.269997,93.309998,91.940002,92.430000,75.835533,1557100
