Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,101.150002,101.769997,98.029999,99.190002,97.983772,2344600
2015-07-28,99.970001,102.449997,98.910004,102.190002,100.947296,2390200
2015-07-29,101.989998,107.430000,101.330002,106.779999,105.481468,2506300
2015-07-30,107.459999,112.589996,107.160004,108.449997,107.131157,3876200
2015-07-31,107.550003,108.400002,106.370003,106.559998,105.264153,1731300
2015-08-03,105.370003,108.190002,103.889999,104.500000,103.229187,1945500
2015-08-04,105.629997,107.290001,104.449997,105.150002,103.871300,1689500
2015-08-05,106.589996,108.300003,105.419998,105.949997,104.661568,1630800
2015-08-06,105.029999,109.540001,104.029999,108.959999,107.634956,2909500
2015-08-07,108.500000,111.589996,106.660004,107.320000,106.014908,1735800
2015-08-10,107.889999,111.870003,106.930000,111.760002,110.400909,1149600
2015-08-11,109.860001,112.199997,107.949997,111.930000,110.568840,1499400
2015-08-12,111.430000,114.150002,110.029999,114.089996,112.702568,1549400
2015-08-13,112.779999,113.440002,109.669998,109.970001,108.632683,1335600
2015-08-14,109.820000,111.650002,109.279999,110.129997,108.790726,759300
2015-08-17,109.489998,110.320000,108.599998,109.779999,108.444992,708000
2015-08-18,109.180000,110.699997,108.470001,110.570000,109.225380,926700
2015-08-19,109.760002,110.970001,105.070000,105.589996,104.305931,2112900
2015-08-20,105.750000,106.260002,103.650002,104.150002,102.883453,2332000
2015-08-21,103.739998,104.620003,100.230003,100.769997,99.544563,2259900
2015-08-24,94.959999,99.160004,93.309998,95.379997,94.220100,2788600
2015-08-25,98.690002,99.339996,92.410004,92.529999,91.404762,1962800
2015-08-26,94.930000,95.379997,93.269997,95.089996,93.933624,1853800
2015-08-27,97.989998,103.540001,97.839996,102.989998,101.737564,2212200
2015-08-28,102.410004,108.440002,102.410004,105.830002,104.543030,2073100
2015-08-31,104.500000,109.230003,102.129997,108.160004,106.844688,1752300
2015-09-01,104.889999,107.949997,102.379997,103.160004,101.905502,1431600
2015-09-02,104.879997,105.610001,100.849998,105.570000,104.286186,1230300
2015-09-03,106.650002,109.360001,104.849998,106.419998,105.125839,1385600
2015-09-04,104.639999,105.570000,103.099998,104.470001,103.199562,949300
2015-09-08,105.059998,107.260002,103.139999,106.919998,105.619766,1448500
2015-09-09,108.010002,108.690002,101.419998,101.580002,100.344719,1533900
2015-09-10,102.139999,103.220001,100.110001,102.010002,100.769485,1560700
2015-09-11,99.970001,100.230003,96.959999,98.620003,97.420700,2590600
2015-09-14,98.269997,98.360001,95.059998,96.269997,95.099281,2235800
2015-09-15,96.860001,98.110001,96.239998,98.099998,96.907021,2041900
2015-09-16,99.720001,105.139999,99.620003,104.930000,103.653976,2426800
2015-09-17,105.040001,107.839996,104.050003,105.269997,103.989822,2081100
2015-09-18,102.360001,104.230003,101.889999,102.669998,101.421448,1704900
2015-09-21,104.129997,105.279999,102.680000,104.379997,103.110657,938600
2015-09-22,102.160004,105.430000,101.260002,103.000000,101.747429,1632100
2015-09-23,103.279999,104.059998,100.610001,100.980003,99.752007,1171600
2015-09-24,100.099998,102.570000,99.070000,101.730003,100.492889,1083300
2015-09-25,102.820000,103.660004,100.440002,100.959999,99.732254,1007800
2015-09-28,99.879997,100.540001,94.779999,95.139999,93.983025,1582000
2015-09-29,96.019997,98.080002,95.059998,96.599998,95.425262,1115300
2015-09-30,97.570000,100.169998,95.779999,98.300003,97.104607,1359600
2015-10-01,95.480003,98.849998,94.830002,98.209999,97.015694,7044300
2015-10-02,97.220001,103.500000,96.029999,102.620003,101.372063,2262100
