Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,274.850006,277.540009,271.350006,276.640015,240.114685,748800
2015-07-28,278.940002,281.359985,275.519989,279.200012,242.336716,993100
2015-07-29,278.970001,280.500000,276.869995,279.220001,242.354004,714100
2015-07-30,281.399994,288.119995,280.059998,282.579987,245.270432,821300
2015-07-31,283.670013,284.149994,278.679993,278.910004,242.085022,523800
2015-08-03,279.769989,284.269989,277.690002,282.890015,245.539474,642400
2015-08-04,281.989990,284.260010,279.549988,280.040009,243.065811,419900
2015-08-05,281.589996,283.609985,279.429993,280.450012,243.421738,478100
2015-08-06,281.040009,281.049988,274.660004,280.000000,243.031052,520800
2015-08-07,279.970001,280.739990,273.019989,280.390015,243.369614,309600
2015-08-10,282.890015,283.440002,278.000000,280.089996,243.109192,996600
2015-08-11,278.429993,282.489990,276.970001,279.429993,242.536377,550600
2015-08-12,277.440002,281.579987,275.230011,280.350006,243.334854,697400
2015-08-13,283.970001,284.260010,278.839996,282.230011,244.966705,539300
2015-08-14,285.109985,287.779999,281.890015,284.399994,246.850098,980100
2015-08-17,282.829987,284.570007,281.089996,284.510010,246.945679,404500
2015-08-18,284.440002,287.750000,283.470001,287.420013,249.471405,405200
2015-08-19,286.130005,288.500000,283.980011,285.589996,247.883087,494200
2015-08-20,284.220001,284.649994,279.920013,279.959991,242.996338,568700
2015-08-21,277.160004,279.790009,271.309998,271.309998,235.488449,1271900
2015-08-24,260.000000,267.089996,251.000000,255.529999,223.182114,1306700
2015-08-25,260.309998,263.670013,250.860001,251.110001,219.321686,1294200
2015-08-26,257.019989,261.809998,252.029999,260.799988,227.784943,1077000
2015-08-27,262.089996,268.179993,261.519989,266.140015,232.449020,704700
2015-08-28,264.709991,270.000000,264.489990,268.779999,234.754776,588600
2015-08-31,267.519989,270.100006,265.000000,269.769989,235.619431,4911600
2015-09-01,265.089996,266.769989,260.429993,262.869995,229.592896,1298200
2015-09-02,264.989990,269.980011,263.619995,269.950012,235.776688,1049100
2015-09-03,269.510010,275.179993,269.410004,274.440002,239.698257,1006000
2015-09-04,272.820007,273.230011,268.070007,269.880005,235.715469,824700
2015-09-08,271.220001,279.750000,270.260010,279.279999,243.925598,850000
2015-09-09,282.359985,283.720001,280.510010,281.000000,245.427841,884500
2015-09-10,279.720001,287.910004,279.119995,285.140015,249.043762,1220500
2015-09-11,284.570007,289.619995,283.160004,289.619995,252.956543,1095900
2015-09-14,289.869995,291.619995,287.149994,289.700012,253.026489,1071400
2015-09-15,290.750000,291.709991,288.320007,290.049988,253.332169,784900
2015-09-16,289.510010,291.160004,286.399994,290.570007,253.786407,674000
2015-09-17,290.640015,294.489990,288.480011,290.070007,253.349609,899200
2015-09-18,285.890015,294.459991,283.290009,285.510010,249.366898,1469800
2015-09-21,287.519989,292.459991,286.209991,292.019989,255.052734,596500
2015-09-22,285.799988,289.869995,285.799988,288.450012,251.934769,622400
2015-09-23,287.450012,289.809998,284.579987,288.890015,252.319077,526900
2015-09-24,287.709991,289.829987,279.059998,279.670013,244.266220,841500
2015-09-25,284.170013,285.440002,277.600006,279.299988,243.943054,1018800
2015-09-28,279.000000,284.609985,269.670013,270.489990,236.248322,959800
2015-09-29,271.500000,271.500000,268.119995,268.980011,234.929459,1202800
2015-09-30,270.450012,273.890015,269.130005,273.399994,238.789978,802100
2015-10-01,274.859985,276.739990,271.700012,276.459991,241.462524,828100
2015-10-02,271.980011,279.670013,270.000000,279.579987,244.187576,536200
2015-10-05,281.250000,285.000000,279.899994,283.440002,247.558914,636600
2015-10-06,272.959991,278.000000,270.070007,271.549988,246.704865,743000
2015-10-07,273.459991,273.480011,263.200012,265.410004,241.126755,1031700
2015-10-08,265.130005,267.679993,262.600006,267.339996,242.880127,766300
2015-10-09,267.089996,270.609985,265.579987,269.880005,245.187714,749000
2015-10-12,269.410004,273.279999,269.410004,272.559998,247.622543,510000
2015-10-13,270.929993,273.399994,269.329987,271.700012,246.841278,555000
2015-10-14,271.079987,275.750000,269.730011,274.700012,249.566772,723100
2015-10-15,275.450012,280.399994,270.000000,280.100006,254.472702,755200
2015-10-16,281.200012,286.559998,276.269989,286.299988,260.105438,569200
2015-10-19,284.970001,291.269989,283.959991,290.709991,264.111908,840100
2015-10-20,290.880005,293.899994,289.750000,293.359985,266.519470,646800
2015-10-21,294.730011,296.690002,291.890015,292.279999,265.538269,818100
2015-10-22,292.589996,296.390015,292.329987,294.619995,267.664307,1297300
2015-10-23,297.579987,297.579987,292.000000,294.839996,267.864044,974000
2015-10-26,295.269989,301.769989,294.279999,301.200012,273.642181,894300
