Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,134.880005,135.759995,133.309998,134.029999,114.595490,368300
2015-07-28,134.139999,135.399994,133.589996,134.990005,115.416290,235200
2015-07-29,134.949997,136.559998,134.000000,136.410004,116.630394,259000
2015-07-30,135.589996,136.679993,135.479996,136.559998,116.758621,277000
2015-07-31,137.649994,138.860001,136.699997,136.789993,116.955261,512700
2015-08-03,136.820007,139.080002,136.720001,139.050003,118.887581,315200
2015-08-04,139.330002,139.399994,137.160004,137.410004,117.485359,208900
2015-08-05,137.729996,138.990005,135.919998,136.179993,116.433701,409900
2015-08-06,136.990005,138.360001,134.130005,135.759995,116.074638,495400
2015-08-07,135.669998,136.860001,134.539993,136.610001,116.801392,298400
2015-08-10,137.160004,137.919998,134.380005,134.800003,115.253838,397600
2015-08-11,134.800003,136.240005,134.460007,135.330002,115.706993,522700
2015-08-12,135.059998,136.210007,134.360001,136.029999,116.305481,404000
2015-08-13,135.720001,137.190002,133.820007,136.559998,116.758621,208700
2015-08-14,136.080002,137.050003,134.559998,137.000000,117.134819,217800
2015-08-17,137.029999,138.210007,136.000000,138.160004,118.126625,312800
2015-08-18,137.990005,138.509995,137.240005,137.910004,117.912880,313800
2015-08-19,137.000000,137.940002,136.520004,136.720001,116.895439,323800
2015-08-20,136.690002,137.309998,135.240005,135.809998,116.117371,359900
2015-08-21,134.850006,136.070007,133.919998,134.000000,114.569832,429800
2015-08-24,130.110001,131.869995,127.379997,127.580002,109.080742,477500
2015-08-25,130.309998,130.360001,124.870003,124.959999,106.840637,588900
2015-08-26,127.230003,130.949997,126.019997,130.389999,111.483276,725400
2015-08-27,131.419998,134.699997,130.850006,133.210007,113.894402,639400
2015-08-28,132.979996,133.330002,131.750000,132.699997,113.458336,378000
2015-08-31,132.490005,132.619995,128.910004,129.080002,110.363235,517000
2015-09-01,127.120003,128.809998,125.570000,126.470001,108.131706,340200
2015-09-02,127.389999,128.619995,126.510002,127.660004,109.149155,277300
2015-09-03,128.630005,129.449997,127.900002,128.309998,109.704880,290500
2015-09-04,127.519997,127.830002,125.089996,126.269997,107.960686,342800
2015-09-08,127.839996,128.490005,126.750000,128.149994,109.568085,234200
2015-09-09,129.300003,129.789993,126.019997,126.269997,107.960686,248800
2015-09-10,125.430000,128.190002,125.430000,126.730003,108.353989,365300
2015-09-11,126.589996,129.529999,126.559998,129.360001,110.602654,294800
2015-09-14,129.729996,129.929993,128.889999,129.570007,110.782196,316600
2015-09-15,130.000000,131.880005,128.940002,131.800003,112.688858,520100
2015-09-16,131.630005,134.179993,131.500000,133.869995,114.458702,479000
2015-09-17,133.589996,136.919998,132.800003,134.619995,115.099915,362200
2015-09-18,132.429993,136.220001,132.429993,134.750000,116.021225,615600
2015-09-21,134.750000,137.029999,134.500000,136.080002,117.166359,347800
2015-09-22,134.850006,135.919998,133.539993,133.770004,115.177429,410200
2015-09-23,133.839996,135.250000,133.160004,134.330002,115.659584,338200
