Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,224.179993,226.649994,223.960007,225.869995,203.122452,587500
2015-07-28,225.869995,227.460007,225.630005,225.949997,203.194382,477600
2015-07-29,225.889999,227.690002,224.699997,226.960007,204.102661,697100
2015-07-30,224.639999,226.699997,221.809998,225.009995,202.349014,832600
2015-07-31,226.589996,230.000000,225.350006,228.710007,205.676422,539100
2015-08-03,227.289993,228.500000,223.899994,224.850006,202.205154,461700
2015-08-04,225.479996,227.690002,224.850006,226.130005,203.356277,414600
2015-08-05,227.520004,228.179993,224.750000,227.050003,204.183609,553400
2015-08-06,226.639999,227.619995,224.570007,226.070007,204.355362,438100
2015-08-07,225.619995,227.289993,224.880005,225.960007,204.255905,377200
2015-08-10,227.320007,230.990005,226.350006,230.899994,208.721420,403700
2015-08-11,228.490005,229.889999,226.529999,228.050003,206.145157,486600
2015-08-12,226.679993,231.009995,226.130005,230.410004,208.278458,724300
2015-08-13,228.000000,230.139999,224.910004,225.860001,204.165527,734500
2015-08-14,226.199997,227.860001,223.759995,224.779999,203.189240,714900
2015-08-17,223.880005,227.039993,223.039993,226.460007,204.707870,733300
2015-08-18,225.649994,227.800003,225.529999,226.729996,204.951965,338700
2015-08-19,226.250000,227.130005,223.949997,225.600006,203.930527,378000
2015-08-20,223.669998,226.789993,223.320007,224.039993,202.520309,504700
2015-08-21,223.229996,224.639999,219.559998,219.850006,198.732803,731900
2015-08-24,212.899994,219.360001,194.419998,213.160004,192.685410,1069500
2015-08-25,218.419998,218.419998,213.320007,213.320007,192.830063,1026900
2015-08-26,217.179993,218.009995,214.460007,217.669998,196.762207,763800
2015-08-27,220.169998,224.279999,218.580002,223.740005,202.249161,738300
2015-08-28,222.990005,224.660004,222.039993,223.229996,201.788132,569200
2015-08-31,222.320007,224.399994,220.529999,223.440002,201.977997,520500
2015-09-01,219.679993,223.869995,217.750000,218.740005,197.729431,997600
2015-09-02,222.229996,223.660004,219.559998,223.029999,201.607361,768800
2015-09-03,220.800003,223.899994,219.009995,220.690002,199.492111,824500
2015-09-04,218.729996,219.699997,217.199997,218.399994,197.422089,621500
2015-09-08,221.970001,225.270004,221.570007,225.270004,203.632187,484700
2015-09-09,227.169998,227.199997,222.490005,222.869995,201.462708,799400
2015-09-10,222.970001,224.759995,220.550003,222.610001,201.227676,538400
2015-09-11,221.800003,222.990005,220.600006,221.929993,200.612991,537200
2015-09-14,221.929993,222.020004,213.839996,218.139999,197.187042,800400
2015-09-15,218.550003,222.889999,217.929993,222.029999,200.703400,613200
2015-09-16,221.630005,223.869995,221.630005,222.429993,201.064987,640000
2015-09-17,221.639999,223.000000,218.160004,218.669998,197.666122,672200
2015-09-18,216.240005,216.470001,213.940002,214.250000,193.670670,896700
2015-09-21,214.289993,216.000000,213.259995,214.250000,193.670670,601800
2015-09-22,211.860001,214.009995,210.710007,212.660004,192.233414,551800
2015-09-23,212.789993,213.740005,209.850006,210.880005,190.624390,595200
2015-09-24,208.550003,214.139999,208.100006,213.369995,192.875229,686500
2015-09-25,214.259995,215.100006,212.100006,213.770004,193.236801,685200
2015-09-28,212.110001,214.779999,210.899994,211.770004,191.428894,719700
2015-09-29,211.830002,213.149994,209.720001,211.929993,191.573532,717600
2015-09-30,214.169998,217.710007,209.369995,215.009995,194.357666,968200
2015-10-01,214.009995,215.729996,207.619995,209.460007,189.340820,1288000
2015-10-02,207.690002,215.160004,204.130005,215.149994,194.484207,1057600
2015-10-05,216.350006,220.039993,215.919998,219.820007,198.705688,602700
2015-10-06,219.929993,226.220001,219.929993,223.729996,202.240097,760700
2015-10-07,225.100006,228.160004,223.750000,227.839996,205.955353,627600
2015-10-08,227.279999,232.639999,227.149994,231.440002,209.209534,652600
2015-10-09,231.000000,233.000000,228.100006,229.199997,207.184677,739000
2015-10-12,229.020004,229.020004,224.270004,225.089996,203.469482,934000
2015-10-13,222.929993,226.050003,220.160004,222.679993,201.290924,1098100
2015-10-14,222.210007,224.289993,219.919998,221.449997,200.179108,942400
2015-10-15,222.110001,222.789993,217.770004,221.630005,200.341812,1198000
2015-10-16,211.149994,217.059998,203.899994,207.649994,187.704636,2539200
2015-10-19,206.679993,208.490005,200.339996,201.960007,182.561188,1833700
2015-10-20,200.539993,205.190002,198.940002,201.750000,182.371368,1058400
2015-10-21,201.850006,204.500000,199.149994,201.669998,182.299057,977500
2015-10-22,203.009995,213.210007,202.080002,209.419998,189.304596,1328300
2015-10-23,209.570007,211.130005,206.250000,207.850006,187.885437,853500
2015-10-26,208.029999,209.539993,205.880005,206.279999,186.466217,538000
2015-10-27,204.220001,205.500000,202.130005,202.460007,183.013168,831400
2015-10-28,203.300003,208.190002,202.389999,207.289993,187.379227,1018100
2015-10-29,207.119995,209.539993,205.449997,208.279999,188.274078,509100
2015-10-30,208.789993,210.990005,208.229996,210.000000,189.828934,866500
2015-11-02,210.029999,211.899994,206.759995,211.130005,190.850433,595300
2015-11-03,211.830002,212.550003,209.800003,211.050003,190.778061,753700
2015-11-04,211.830002,213.970001,209.970001,210.649994,190.416504,701900
2015-11-05,209.630005,211.750000,206.660004,209.779999,190.689178,763600
2015-11-06,208.800003,212.330002,206.850006,212.190002,192.879883,623800
2015-11-09,211.009995,211.270004,206.949997,208.750000,189.752930,458100
2015-11-10,209.020004,212.169998,207.149994,210.940002,191.743622,717700
2015-11-11,211.050003,212.720001,208.539993,211.179993,191.961746,600500
2015-11-12,209.449997,212.149994,199.089996,199.830002,181.644653,1879900
2015-11-13,199.000000,200.970001,196.580002,197.009995,179.081314,1278000
2015-11-16,197.000000,199.669998,196.410004,198.279999,180.235733,750400
2015-11-17,197.899994,198.860001,192.500000,193.259995,175.672577,927500
2015-11-18,194.250000,198.639999,193.610001,198.250000,180.208481,729000
2015-11-19,198.100006,198.610001,196.509995,198.309998,180.263000,540000
2015-11-20,199.130005,201.059998,198.460007,199.190002,181.062912,515400
2015-11-23,198.839996,199.630005,197.449997,198.059998,180.035751,484200
2015-11-24,197.110001,199.500000,197.000000,198.460007,180.399353,485900
2015-11-25,199.050003,199.619995,197.539993,198.679993,180.599335,255300
2015-11-27,199.199997,199.990005,196.929993,199.649994,181.481064,312800
2015-11-30,199.699997,201.050003,198.750000,200.539993,182.290039,606600
2015-12-01,200.089996,202.169998,199.869995,201.639999,183.289948,574800
2015-12-02,201.289993,202.360001,199.059998,199.559998,181.399231,633100
2015-12-03,200.470001,201.339996,196.880005,198.800003,180.708435,800400
2015-12-04,198.880005,201.119995,197.550003,200.860001,182.580933,699000
2015-12-07,200.070007,200.070007,197.100006,198.429993,180.372055,793800
2015-12-08,196.720001,197.860001,193.820007,195.059998,177.308746,830100
2015-12-09,193.860001,197.559998,192.440002,193.119995,175.545303,1450200
2015-12-10,193.460007,195.279999,192.240005,194.470001,176.772446,587700
2015-12-11,192.320007,194.350006,189.600006,190.830002,173.463684,921300
2015-12-14,191.199997,194.740005,189.809998,194.130005,176.463425,1360900
2015-12-15,194.279999,195.949997,192.220001,194.580002,176.872482,624600
2015-12-16,196.199997,197.220001,193.500000,196.789993,178.881302,511900
2015-12-17,196.720001,196.720001,193.490005,194.850006,177.117889,784000
2015-12-18,193.800003,195.490005,192.699997,193.929993,176.281616,1608200
2015-12-21,195.699997,196.500000,193.729996,196.369995,178.499542,484700
2015-12-22,195.850006,202.740005,195.850006,201.949997,183.571808,897200
2015-12-23,203.940002,207.020004,202.869995,205.600006,186.889603,730900
2015-12-24,205.639999,207.669998,205.210007,205.449997,186.753265,301500
2015-12-28,204.149994,206.169998,203.050003,204.369995,185.771484,411300
2015-12-29,205.369995,206.940002,204.490005,205.539993,186.835037,372400
2015-12-30,205.539993,206.710007,204.619995,204.699997,186.071457,263000
2015-12-31,203.860001,205.279999,202.240005,202.589996,184.153519,494100
2016-01-04,199.550003,202.130005,197.770004,202.119995,183.726303,705100
2016-01-05,202.729996,203.429993,197.759995,199.679993,181.508331,730600
2016-01-06,197.410004,201.130005,196.320007,199.050003,180.935654,727100
2016-01-07,197.179993,198.800003,194.089996,197.130005,179.190399,544100
2016-01-08,198.139999,198.830002,194.380005,194.789993,177.063293,722900
2016-01-11,194.160004,194.339996,187.759995,189.119995,171.909317,1192400
2016-01-12,189.600006,191.880005,185.020004,187.649994,170.573090,1166300
2016-01-13,188.649994,191.419998,184.889999,185.600006,168.709656,868200
2016-01-14,185.619995,190.839996,183.500000,188.960007,171.763885,693900
2016-01-15,185.250000,189.929993,183.529999,189.419998,172.182007,1337400
2016-01-19,190.410004,191.979996,184.649994,186.580002,169.600464,786400
