Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,47.310001,48.000000,47.259998,47.360001,38.455055,2959900
2015-07-28,47.570000,48.970001,47.529999,48.730000,39.567478,3399900
2015-07-29,47.759998,48.189999,46.130001,46.990002,38.154633,7016000
2015-07-30,46.759998,47.509998,46.759998,47.470001,38.544380,3202100
2015-07-31,47.689999,48.099998,47.549999,47.869999,38.869171,2757300
2015-08-03,47.880001,47.880001,46.820000,47.340000,38.438828,2165400
2015-08-04,47.110001,47.709999,47.090000,47.410000,38.495659,2291200
2015-08-05,47.750000,48.169998,47.450001,47.790001,38.804218,3039200
2015-08-06,47.810001,48.060001,47.000000,47.270000,38.381981,2082300
2015-08-07,47.169998,47.700001,47.029999,47.540001,38.601219,2618000
2015-08-10,47.779999,48.230000,47.779999,47.990002,38.966606,1727700
2015-08-11,47.490002,47.759998,47.020000,47.270000,38.381981,3326000
2015-08-12,46.540001,47.180000,46.119999,47.150002,38.611279,3080600
2015-08-13,47.090000,47.240002,46.830002,46.869999,38.381981,2416700
2015-08-14,46.730000,47.419998,46.689999,47.310001,38.742298,2566700
2015-08-17,47.250000,48.209999,47.009998,48.160000,39.438374,2554300
2015-08-18,47.849998,47.959999,47.540001,47.599998,38.979782,2036300
2015-08-19,47.330002,47.360001,46.599998,47.020000,38.504822,2067400
2015-08-20,46.660000,46.660000,46.000000,46.020000,37.685925,2662100
2015-08-21,45.560001,45.790001,44.290001,44.310001,36.285591,4187200
2015-08-24,42.049999,43.400002,41.160000,42.009998,34.402115,4932300
2015-08-25,43.230000,43.549999,40.639999,40.680000,33.312973,5315900
2015-08-26,41.730000,42.110001,40.939999,42.009998,34.402115,4210600
2015-08-27,42.740002,43.320000,42.189999,43.150002,35.335663,3210300
2015-08-28,42.970001,43.889999,42.709999,43.730000,35.810619,3142900
2015-08-31,43.580002,43.590000,42.980000,43.139999,35.327480,2100200
2015-09-01,42.139999,42.380001,41.400002,41.689999,34.140060,3463800
2015-09-02,42.430000,42.470001,41.490002,41.980000,34.377552,2001800
2015-09-03,42.090000,42.900002,41.959999,42.150002,34.516766,1993300
2015-09-04,41.540001,42.000000,41.430000,41.700001,34.148258,2116700
2015-09-08,42.619999,42.970001,42.160000,42.939999,35.163700,2319800
2015-09-09,43.330002,43.500000,41.889999,41.990002,34.385735,2386800
2015-09-10,41.860001,42.169998,41.660000,41.820000,34.246529,1859600
2015-09-11,41.650002,41.770000,41.270000,41.639999,34.099121,2426900
2015-09-14,41.770000,41.790001,41.270000,41.500000,33.984474,2102800
2015-09-15,40.970001,41.330002,40.849998,41.099998,33.656910,3192900
2015-09-16,41.130001,41.490002,40.880001,41.209999,33.747002,2767500
2015-09-17,41.340000,41.619999,40.790001,40.910000,33.501324,2504800
2015-09-18,40.500000,41.110001,40.240002,40.419998,33.100056,6225100
2015-09-21,40.560001,40.930000,40.259998,40.340000,33.034550,2189800
2015-09-22,40.000000,40.070000,39.400002,39.570000,32.403988,2721300
2015-09-23,39.549999,39.860001,39.160000,39.259998,32.150135,2483000
2015-09-24,39.049999,39.110001,38.150002,38.930000,31.879889,4761600
2015-09-25,39.189999,39.299999,38.570000,38.700001,31.691542,2866000
2015-09-28,38.369999,38.549999,37.450001,37.480000,30.692482,3361700
2015-09-29,37.459999,37.720001,37.110001,37.389999,30.618784,3289200
2015-09-30,37.790001,38.060001,37.439999,37.790001,30.946344,3179100
2015-10-01,37.709999,38.630001,37.680000,38.349998,31.404934,3246200
2015-10-02,37.990002,38.919998,37.680000,38.919998,31.871704,3893100
2015-10-05,39.130001,39.779999,38.990002,39.750000,32.551395,2561100
2015-10-06,39.770000,40.009998,39.520000,39.849998,32.633289,3734400
2015-10-07,40.430000,40.430000,39.790001,40.290001,32.993610,2386300
2015-10-08,40.299999,41.160000,40.200001,41.090000,33.648724,2836100
2015-10-09,42.669998,44.830002,42.599998,43.230000,35.401176,7870700
2015-10-12,42.750000,42.939999,41.380001,41.950001,34.352993,3646100
2015-10-13,41.709999,42.480000,41.630001,42.029999,34.418495,2618000
2015-10-14,42.169998,42.500000,41.910000,42.110001,34.484005,2469300
2015-10-15,42.049999,42.270000,41.150002,42.150002,34.516766,2971800
2015-10-16,42.180000,42.299999,41.599998,42.130001,34.500389,2354800
2015-10-19,41.970001,41.990002,41.209999,41.509998,33.992664,2655000
2015-10-20,41.349998,41.869999,41.180000,41.439999,33.935333,2676100
2015-10-21,41.259998,41.389999,40.599998,41.200001,33.738811,3245400
2015-10-22,41.660000,42.900002,41.509998,42.689999,34.958965,4149600
2015-10-23,43.169998,43.959999,42.950001,43.849998,35.908897,4370200
2015-10-26,43.820000,43.900002,43.169998,43.459999,35.589531,2926300
2015-10-27,43.279999,43.430000,42.700001,43.009998,35.221016,2797900
2015-10-28,43.029999,44.180000,42.650002,43.930000,35.974407,3576400
2015-10-29,43.970001,44.000000,42.799999,42.980000,35.196457,4086800
2015-10-30,43.150002,43.410000,42.650002,42.689999,34.958965,2589200
2015-11-02,42.750000,43.619999,42.720001,43.419998,35.556770,2279600
2015-11-03,43.119999,43.430000,42.750000,42.779999,35.032665,2568900
2015-11-04,42.990002,43.090000,42.439999,42.509998,34.811569,2397900
2015-11-05,42.520000,42.750000,41.849998,42.040001,34.426689,3059600
2015-11-06,41.849998,42.700001,41.630001,42.549999,34.844326,4341900
2015-11-09,42.360001,42.509998,41.799999,42.110001,34.484005,2722400
2015-11-10,42.009998,42.320000,41.419998,41.950001,34.352993,2389800
2015-11-11,42.099998,42.430000,41.880001,42.320000,34.655972,3222100
2015-11-12,41.500000,41.689999,40.220001,40.240002,33.298866,2953300
2015-11-13,40.250000,40.689999,39.990002,40.189999,33.257488,3702400
2015-11-16,40.160000,40.290001,39.590000,39.990002,33.091991,4530700
2015-11-17,40.220001,41.709999,39.860001,39.869999,32.992691,7074700
2015-11-18,40.000000,41.139999,40.000000,41.060001,33.977421,3132100
2015-11-19,41.029999,41.439999,40.830002,41.259998,34.142925,2581000
2015-11-20,41.490002,41.840000,41.049999,41.220001,34.109821,2137800
2015-11-23,41.169998,41.889999,41.080002,41.189999,34.084995,2148300
2015-11-24,41.009998,41.919998,40.869999,41.830002,34.614601,3176500
2015-11-25,41.810001,41.930000,41.330002,41.639999,34.457371,2123600
2015-11-27,41.680000,42.110001,41.500000,41.849998,34.631145,1067900
2015-11-30,42.040001,42.369999,41.660000,41.830002,34.614601,5052200
2015-12-01,41.919998,42.119999,40.900002,41.220001,34.109821,3626900
2015-12-02,41.049999,41.169998,39.910000,40.070000,33.158192,5312800
2015-12-03,40.049999,40.450001,39.380001,39.610001,32.777531,4519900
2015-12-04,39.650002,40.330002,39.340000,40.230000,33.290588,3137100
2015-12-07,39.950001,40.060001,39.470001,39.779999,32.918201,2136500
2015-12-08,39.360001,39.919998,39.160000,39.299999,32.521011,2944900
2015-12-09,39.110001,39.930000,39.090000,39.400002,32.603760,2796400
2015-12-10,39.340000,39.509998,38.720001,38.759998,32.074154,2326000
2015-12-11,38.500000,38.599998,38.020000,38.130001,31.552828,2541600
2015-12-14,38.070000,38.180000,37.290001,37.570000,31.089417,3312800
2015-12-15,37.970001,38.450001,37.820000,38.160000,31.577654,4035000
2015-12-16,38.380001,38.660000,37.759998,38.580002,31.925207,3488900
2015-12-17,38.689999,38.750000,37.720001,37.720001,31.213549,3402100
2015-12-18,37.540001,37.580002,36.759998,36.799999,30.452236,6255600
2015-12-21,37.200001,37.610001,36.950001,37.299999,30.865997,2973600
2015-12-22,37.389999,37.869999,37.099998,37.650002,31.155617,3716100
2015-12-23,37.939999,38.349998,37.730000,38.330002,31.718334,2512000
2015-12-24,38.380001,38.720001,38.270000,38.520000,31.875555,1147700
2015-12-28,38.349998,38.439999,37.959999,38.119999,31.544548,2243600
2015-12-29,38.360001,38.750000,38.209999,38.650002,31.983124,2885200
2015-12-30,38.520000,38.790001,38.160000,38.200001,31.610750,2425200
2015-12-31,38.080002,38.200001,37.689999,37.700001,31.196999,2572500
2016-01-04,37.160000,37.669998,36.860001,37.669998,31.172173,4115100
2016-01-05,37.790001,38.000000,37.419998,37.990002,31.436972,3313900
2016-01-06,37.470001,37.580002,37.119999,37.389999,30.940470,3536800
2016-01-07,36.790001,37.220001,36.180000,36.290001,30.030214,4851900
2016-01-08,36.299999,36.779999,35.779999,35.900002,29.707487,4781000
2016-01-11,36.180000,36.540001,35.950001,36.400002,30.121241,5870700
2016-01-12,36.720001,36.880001,35.950001,36.349998,30.079866,3960200
2016-01-13,36.549999,37.049999,35.980000,36.049999,29.831610,3962300
2016-01-14,36.169998,36.790001,35.689999,36.540001,30.237095,4106100
2016-01-15,35.490002,36.799999,35.490002,36.419998,30.137787,5079700
2016-01-19,36.759998,36.830002,35.020000,35.639999,29.492331,4418100
2016-01-20,35.070000,35.610001,34.029999,35.290001,29.202711,4650400
2016-01-21,35.450001,35.990002,34.939999,35.459999,29.343386,3355600
2016-01-22,36.029999,36.799999,36.029999,36.450001,30.162611,3713800
2016-01-25,34.980000,35.009998,32.500000,32.580002,26.960163,14645200
2016-01-26,32.810001,33.290001,32.580002,32.869999,27.200140,8396000
2016-01-27,32.770000,33.669998,32.529999,32.910000,27.233240,6765000
2016-01-28,33.099998,33.240002,32.560001,32.650002,27.018087,4276100
2016-01-29,32.880001,34.220001,32.830002,34.209999,28.308998,6266000
2016-02-01,34.029999,34.330002,33.509998,34.090000,28.209700,5573900
2016-02-02,34.080002,34.090000,33.480000,33.860001,28.019371,5374200
2016-02-03,34.700001,35.480000,33.060001,34.169998,28.275902,8870700
2016-02-04,34.230000,35.389999,33.900002,35.070000,29.020655,6493900
2016-02-05,35.060001,35.360001,34.810001,34.970001,28.937906,6531400
2016-02-08,34.500000,34.610001,33.720001,34.360001,28.433130,4257100
2016-02-09,34.009998,35.200001,33.750000,35.130001,29.070305,6144000
2016-02-10,35.270000,36.119999,34.700001,34.779999,28.780676,7779000
2016-02-11,33.849998,34.130001,32.860001,33.119999,27.758188,5885500
2016-02-12,33.570000,35.150002,33.520000,34.160000,28.629824,6366300
2016-02-16,34.549999,35.139999,34.220001,35.099998,29.417645,3650200
2016-02-17,35.299999,36.169998,35.259998,35.580002,29.819941,4470500
2016-02-18,35.540001,35.610001,35.029999,35.320000,29.602020,3011400
2016-02-19,34.810001,34.810001,33.430000,34.009998,28.504103,5877700
2016-02-22,34.430000,34.500000,34.080002,34.349998,28.789057,4029000
2016-02-23,34.180000,34.310001,33.759998,34.189999,28.654961,3758500
2016-02-24,33.990002,34.860001,33.799999,34.709999,29.090780,3644700
2016-02-25,34.779999,34.950001,34.310001,34.790001,29.157829,3083900
2016-02-26,35.000000,35.500000,34.970001,35.240002,29.534977,3335400
2016-02-29,35.200001,36.200001,35.160000,35.700001,29.920507,4316000
2016-03-01,36.020000,36.910000,35.930000,36.639999,30.708336,3975400
2016-03-02,36.450001,37.049999,36.419998,36.779999,30.825666,3277600
2016-03-03,36.799999,38.369999,36.779999,38.310001,32.107971,5133400
2016-03-04,38.230000,39.169998,38.130001,38.730000,32.459976,4729900
2016-03-07,38.650002,39.090000,38.549999,38.919998,32.619221,2844200
2016-03-08,38.740002,38.900002,37.770000,37.830002,31.705675,3498600
2016-03-09,38.090000,38.619999,37.880001,38.549999,32.309120,3928100
2016-03-10,38.779999,39.360001,38.459999,39.250000,32.895798,5242900
2016-03-11,39.799999,40.049999,39.709999,39.900002,33.440575,4195700
2016-03-14,39.980000,40.430000,39.860001,40.009998,33.532757,5566200
2016-03-15,39.820000,39.939999,39.130001,39.470001,33.080181,4937000
2016-03-16,39.349998,40.570000,39.290001,40.389999,33.851246,5840200
2016-03-17,40.310001,41.700001,40.240002,41.270000,34.588776,5021500
2016-03-18,41.910000,41.910000,40.509998,40.939999,34.312202,9941600
2016-03-21,40.950001,42.090000,40.950001,41.459999,34.748024,4513800
2016-03-22,41.220001,41.799999,40.959999,41.279999,34.597160,3441500
2016-03-23,41.180000,41.380001,40.650002,40.709999,34.119434,2641300
2016-03-24,40.500000,40.820000,40.220001,40.790001,34.186493,2746500
2016-03-28,40.900002,41.009998,40.540001,40.860001,34.245155,2159200
2016-03-29,40.770000,41.360001,40.340000,41.340000,34.647446,2969700
2016-03-30,41.450001,41.549999,40.869999,41.000000,34.362495,2995400
2016-03-31,41.000000,41.160000,40.610001,41.040001,34.396011,4323400
2016-04-01,40.750000,41.020000,40.380001,40.970001,34.337349,3987900
2016-04-04,41.020000,41.119999,40.500000,40.560001,33.993713,3065000
2016-04-05,40.090000,40.330002,39.630001,39.869999,33.415424,4843200
2016-04-06,39.799999,40.240002,39.349998,40.200001,33.692005,2991600
2016-04-07,39.849998,40.150002,39.369999,39.599998,33.189129,2434400
2016-04-08,39.930000,40.470001,39.900002,40.220001,33.708767,2487400
2016-04-11,40.410000,40.700001,40.110001,40.180000,33.675228,2747400
2016-04-12,40.349998,40.599998,39.990002,40.520000,33.960197,2398800
2016-04-13,40.860001,41.369999,40.799999,41.320000,34.630676,2609000
2016-04-14,41.400002,41.450001,40.720001,40.990002,34.354107,2295700
2016-04-15,40.900002,41.790001,40.860001,41.720001,34.965923,2982300
2016-04-18,41.540001,42.090000,41.400002,42.020000,35.217354,2372600
2016-04-19,42.080002,43.459999,42.049999,42.919998,35.971664,4797400
2016-04-20,42.959999,43.090000,42.509998,42.549999,35.661556,2425800
2016-04-21,42.919998,43.500000,42.520000,42.570000,35.678322,3472000
2016-04-22,42.730000,43.490002,42.700001,43.360001,36.340427,2953200
2016-04-25,42.860001,43.040001,42.349998,42.849998,35.912987,3445900
2016-04-26,42.950001,43.480000,42.930000,43.369999,36.348808,2996700
2016-04-27,44.060001,44.599998,43.570000,44.180000,37.027676,4052400
2016-04-28,43.650002,44.259998,43.110001,43.570000,36.516430,2612600
2016-04-29,43.500000,43.750000,43.000000,43.270000,36.264988,3242800
2016-05-02,43.279999,43.689999,42.880001,43.459999,36.424240,3963400
2016-05-03,42.720001,42.820000,41.619999,42.180000,35.351452,4441900
2016-05-04,42.000000,42.240002,41.520000,41.770000,35.007835,2556100
2016-05-05,41.950001,42.090000,41.470001,41.500000,34.781536,2732600
2016-05-06,41.459999,42.369999,41.279999,42.099998,35.284405,2958200
2016-05-09,42.189999,42.779999,42.029999,42.520000,35.636421,3110700
2016-05-10,42.619999,43.209999,42.580002,43.090000,36.114136,2349900
2016-05-11,43.080002,43.330002,42.810001,42.810001,35.879471,1944500
2016-05-12,43.310001,43.439999,42.400002,42.599998,35.703457,2154300
2016-05-13,42.509998,42.650002,41.889999,41.970001,35.175457,2710700
2016-05-16,42.009998,42.400002,41.680000,42.209999,35.376602,2984400
2016-05-17,41.750000,41.759998,40.799999,41.189999,34.521725,5944100
2016-05-18,41.080002,41.320000,40.180000,40.290001,33.767437,4547400
2016-05-19,40.200001,40.299999,39.520000,40.259998,33.742283,3753900
2016-05-20,40.500000,40.630001,40.230000,40.430000,33.884769,2620200
2016-05-23,40.529999,41.520000,40.490002,40.930000,34.303814,3211100
2016-05-24,41.240002,41.540001,41.139999,41.419998,34.714489,2987700
2016-05-25,41.180000,42.419998,41.180000,42.130001,35.688671,4884300
2016-05-26,42.110001,42.259998,41.709999,41.840000,35.443005,2460600
2016-05-27,41.919998,42.220001,41.799999,42.090000,35.654781,1625100
2016-05-31,42.299999,42.500000,41.790001,42.160000,35.714088,2822000
2016-06-01,41.950001,42.119999,41.700001,42.110001,35.671722,1967900
2016-06-02,42.150002,43.090000,42.070000,42.900002,36.340942,3181700
2016-06-03,42.900002,42.980000,42.400002,42.930000,36.366356,2868400
2016-06-06,43.000000,43.250000,42.930000,43.119999,36.527309,1945800
2016-06-07,43.290001,44.110001,43.200001,43.910000,37.196529,3864500
2016-06-08,44.119999,44.180000,43.869999,44.110001,37.365936,2899800
2016-06-09,43.900002,43.990002,43.360001,43.590000,36.925449,1661100
2016-06-10,43.349998,43.389999,42.900002,43.180000,36.578133,2337200
2016-06-13,42.919998,43.040001,41.930000,41.980000,35.561600,3483500
2016-06-14,41.779999,41.939999,41.310001,41.730000,35.349823,3014400
2016-06-15,42.000000,42.259998,41.549999,41.590000,35.231224,2386000
2016-06-16,41.369999,41.759998,40.889999,41.730000,35.349823,2799700
2016-06-17,41.720001,42.040001,41.450001,41.959999,35.544655,2809500
2016-06-20,42.450001,43.110001,42.419998,42.680000,36.154575,2188300
2016-06-21,42.849998,42.869999,42.430000,42.450001,35.959740,1729200
2016-06-22,42.529999,42.689999,42.369999,42.369999,35.891979,1579100
2016-06-23,43.020000,43.290001,42.880001,43.290001,36.671318,1582600
2016-06-24,41.520000,42.380001,41.250000,41.369999,35.044861,9585800
