Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,156.820007,157.110001,153.220001,153.600006,146.837952,672100
2015-07-28,155.009995,157.279999,153.000000,156.009995,149.141846,659800
2015-07-29,156.559998,159.470001,155.119995,157.380005,150.451538,827600
2015-07-30,156.630005,157.710007,155.369995,157.470001,150.537537,445700
2015-07-31,158.259995,158.779999,156.449997,156.820007,149.916183,453800
2015-08-03,156.630005,158.610001,155.059998,156.520004,149.629364,740800
2015-08-04,153.639999,165.570007,152.000000,165.429993,158.147141,2115800
2015-08-05,166.720001,172.600006,165.919998,170.139999,162.649780,1631500
2015-08-06,170.149994,172.839996,167.089996,167.720001,160.336319,1022400
2015-08-07,168.210007,169.199997,165.750000,167.580002,160.202469,543900
2015-08-10,169.190002,173.029999,168.919998,172.000000,164.427902,606900
2015-08-11,170.679993,172.850006,170.059998,171.000000,163.471924,789300
2015-08-12,169.779999,172.750000,169.199997,172.610001,165.011047,857200
2015-08-13,172.509995,173.419998,170.410004,172.149994,164.571274,519600
2015-08-14,172.000000,175.240005,171.350006,175.029999,167.324463,804400
2015-08-17,175.529999,176.039993,173.110001,175.119995,167.410507,498700
2015-08-18,174.949997,177.589996,173.910004,175.690002,167.955475,439800
2015-08-19,174.899994,175.089996,169.779999,170.889999,163.366776,638100
2015-08-20,170.000000,170.860001,166.110001,166.949997,159.600174,533300
2015-08-21,165.279999,166.520004,159.850006,161.639999,154.523987,969600
2015-08-24,152.979996,162.389999,143.160004,154.820007,148.004272,1330100
2015-08-25,158.750000,163.820007,154.339996,154.339996,147.545380,950200
2015-08-26,158.330002,158.330002,152.779999,157.940002,150.986847,770100
2015-08-27,159.789993,166.899994,159.789993,164.990005,157.726547,792200
2015-08-28,163.630005,167.029999,162.690002,165.500000,158.598587,706300
2015-08-31,164.979996,169.380005,164.039993,167.800003,160.802673,783500
2015-09-01,164.389999,166.639999,162.710007,163.720001,156.892761,677000
2015-09-02,166.309998,168.610001,164.580002,168.550003,161.521378,555600
2015-09-03,169.410004,172.000000,167.720001,167.910004,160.908081,708500
2015-09-04,166.089996,168.580002,164.190002,166.460007,159.518524,614800
2015-09-08,168.419998,170.399994,167.380005,169.990005,162.901337,550000
2015-09-09,171.779999,172.940002,168.130005,168.600006,161.569321,949200
2015-09-10,168.679993,171.600006,167.580002,170.770004,163.648788,1062700
2015-09-11,170.020004,171.789993,168.289993,171.479996,164.329193,955300
2015-09-14,171.520004,175.009995,169.889999,172.880005,165.670822,1044900
2015-09-15,173.570007,176.229996,172.570007,175.089996,167.788681,733300
2015-09-16,175.190002,177.600006,173.940002,176.509995,169.149429,536300
2015-09-17,176.339996,178.669998,174.880005,175.929993,168.593597,643200
2015-09-18,173.449997,174.800003,169.869995,169.889999,162.805481,2066300
2015-09-21,171.169998,173.479996,170.690002,171.589996,164.434570,644400
2015-09-22,169.389999,169.389999,163.820007,166.020004,159.096909,961900
2015-09-23,166.580002,167.020004,158.570007,161.449997,154.717453,1068300
2015-09-24,159.600006,160.000000,155.250000,159.690002,153.030853,1186000
2015-09-25,161.199997,162.190002,157.899994,159.389999,152.743362,806700
2015-09-28,157.990005,158.270004,151.820007,152.740005,146.370667,1098300
2015-09-29,153.570007,156.470001,146.669998,148.369995,142.182907,1508500
2015-09-30,149.929993,152.350006,147.210007,151.949997,145.613586,1342300
2015-10-01,153.229996,157.360001,152.710007,156.720001,150.184708,1565300
2015-10-02,156.619995,163.169998,154.979996,163.080002,156.279449,1223300
2015-10-05,164.570007,166.199997,161.940002,164.330002,157.477356,800800
2015-10-06,163.809998,164.750000,157.589996,159.339996,152.695419,1162600
2015-10-07,160.520004,161.919998,157.479996,159.740005,153.078812,1085100
2015-10-08,159.110001,163.779999,157.990005,163.059998,156.260315,599900
2015-10-09,163.259995,166.229996,162.029999,165.070007,158.186493,1023600
2015-10-12,165.000000,165.899994,161.679993,162.020004,155.263672,544600
2015-10-13,160.779999,162.110001,154.279999,155.110001,148.641830,999000
2015-10-14,155.449997,155.869995,150.559998,151.750000,145.421951,986600
2015-10-15,152.690002,152.750000,147.630005,149.220001,142.997437,2227400
2015-10-16,150.160004,151.839996,149.169998,151.440002,145.124893,1651400
2015-10-19,150.270004,151.630005,145.300003,148.440002,142.250000,1204700
2015-10-20,147.699997,151.210007,147.210007,148.380005,142.192474,730400
2015-10-21,149.389999,150.330002,144.610001,145.899994,139.815918,956500
2015-10-22,146.529999,153.190002,145.089996,152.399994,146.044830,913700
2015-10-23,153.500000,154.300003,151.009995,152.880005,146.504837,765000
2015-10-26,152.330002,154.500000,147.759995,148.580002,142.384155,835600
2015-10-27,147.449997,148.759995,143.289993,147.020004,140.889221,1062800
2015-10-28,147.880005,154.160004,147.179993,152.860001,146.485641,885800
2015-10-29,151.839996,154.130005,149.830002,151.679993,145.354874,642600
2015-10-30,152.350006,155.770004,151.389999,155.149994,148.680145,985800
2015-11-02,155.440002,156.720001,152.669998,155.270004,148.795151,1056800
2015-11-03,150.750000,151.429993,138.300003,142.110001,136.183884,4078400
2015-11-04,141.690002,146.470001,138.360001,145.850006,139.767990,2168600
2015-11-05,145.330002,155.520004,143.300003,155.330002,148.852676,2660300
2015-11-06,154.619995,157.740005,153.210007,154.979996,148.517273,1179300
2015-11-09,154.990005,155.000000,150.199997,152.149994,145.805298,1214600
2015-11-10,151.740005,154.589996,151.740005,153.559998,147.156433,705200
2015-11-11,154.729996,157.250000,153.279999,155.809998,149.312637,674300
2015-11-12,154.229996,155.500000,151.240005,151.500000,145.182358,702800
2015-11-13,151.380005,156.949997,151.009995,153.429993,147.031891,656300
2015-11-16,153.339996,157.669998,152.529999,157.500000,150.932190,862500
2015-11-17,157.559998,162.149994,156.029999,156.970001,150.424240,750600
2015-11-18,157.000000,159.949997,157.000000,159.300003,152.657089,626900
2015-11-19,159.610001,162.740005,158.119995,160.619995,153.922073,571600
2015-11-20,161.139999,162.839996,160.100006,160.869995,154.161652,681200
2015-11-23,161.029999,163.009995,159.250000,159.919998,153.251282,577000
2015-11-24,158.850006,162.050003,158.229996,160.970001,154.257492,653600
2015-11-25,161.100006,162.110001,159.639999,160.250000,153.567520,421100
2015-11-27,159.949997,161.889999,159.179993,161.000000,154.672318,264500
2015-11-30,161.259995,162.520004,156.139999,157.399994,151.213776,887700
2015-12-01,158.240005,160.179993,156.850006,159.339996,153.077515,722600
2015-12-02,159.979996,160.729996,157.309998,157.960007,151.751785,814000
2015-12-03,158.059998,159.880005,152.300003,153.639999,147.601563,774400
2015-12-04,154.720001,156.009995,151.759995,155.270004,149.167496,506900
2015-12-07,154.119995,154.729996,146.690002,147.309998,141.520325,1142900
2015-12-08,145.559998,150.669998,144.759995,148.559998,142.721252,728400
2015-12-09,148.410004,149.779999,143.039993,144.460007,138.782349,730700
2015-12-10,143.869995,146.399994,141.250000,143.649994,138.004181,1083500
2015-12-11,141.520004,144.369995,141.410004,142.089996,136.505478,666500
2015-12-14,142.470001,143.460007,140.050003,142.619995,137.014709,642600
2015-12-15,143.619995,146.860001,143.089996,145.100006,139.397202,466500
2015-12-16,146.179993,148.330002,143.800003,147.669998,141.866226,591100
2015-12-17,148.050003,148.050003,142.639999,142.740005,137.129974,596100
2015-12-18,142.250000,142.410004,139.559998,139.910004,134.411163,1078400
2015-12-21,140.360001,141.360001,139.300003,141.000000,135.458389,545900
2015-12-22,141.419998,142.149994,139.070007,139.839996,134.343948,776300
2015-12-23,141.389999,143.919998,139.649994,142.960007,137.341339,931300
2015-12-24,142.960007,143.460007,142.039993,142.330002,136.736099,105700
2015-12-28,141.860001,142.509995,138.360001,139.809998,134.315109,451200
2015-12-29,141.000000,142.149994,139.000000,140.660004,135.131729,518800
2015-12-30,140.619995,141.070007,137.089996,137.289993,131.894119,509300
2015-12-31,136.910004,139.100006,136.199997,136.580002,131.212067,603000
2016-01-04,134.589996,136.009995,132.339996,135.809998,130.472336,1200800
2016-01-05,136.190002,136.630005,132.910004,133.179993,127.945717,945700
2016-01-06,130.580002,132.789993,129.259995,129.830002,124.727379,822200
2016-01-07,127.480003,133.740005,126.370003,129.559998,124.467987,1355800
2016-01-08,130.009995,130.389999,125.620003,126.129997,121.172768,891000
2016-01-11,126.750000,127.559998,123.949997,124.730003,119.827805,1197300
2016-01-12,125.949997,129.529999,125.010002,127.959999,122.930847,981500
2016-01-13,128.169998,128.919998,121.970001,122.879997,118.050514,1247700
2016-01-14,123.290001,125.199997,121.570000,123.610001,118.751823,903700
2016-01-15,120.879997,125.690002,119.580002,124.690002,119.789398,872700
2016-01-19,125.970001,126.480003,117.949997,119.190002,114.505531,1379700
2016-01-20,117.470001,118.269997,113.489998,117.000000,112.401619,1599800
2016-01-21,117.440002,119.339996,115.610001,118.370003,113.717758,1579100
2016-01-22,120.580002,126.160004,120.580002,123.599998,118.742203,1029400
2016-01-25,122.779999,123.379997,116.660004,117.360001,112.747459,877200
2016-01-26,118.529999,119.800003,116.360001,119.629997,114.928238,952100
2016-01-27,119.750000,122.300003,118.139999,120.000000,115.283691,659500
2016-01-28,121.410004,122.779999,117.699997,118.459999,113.804230,503300
2016-01-29,119.169998,126.589996,117.790001,125.580002,120.644394,1248300
2016-02-01,124.389999,126.050003,123.430000,123.720001,118.857491,875100
2016-02-02,121.949997,122.760002,117.580002,121.190002,116.426941,1125400
2016-02-03,122.889999,123.449997,118.000000,121.309998,116.542213,965900
2016-02-04,122.040001,126.559998,122.040001,124.410004,119.520393,1428600
2016-02-05,124.239998,125.209999,121.309998,123.050003,118.213852,947300
2016-02-08,121.739998,122.190002,115.839996,117.849998,113.218185,1146400
2016-02-09,113.080002,133.580002,108.309998,128.880005,123.814705,3226900
