Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,148.639999,149.000000,147.699997,148.710007,129.109100,3117600
2015-07-28,148.850006,151.720001,148.320007,151.110001,131.192734,3277700
2015-07-29,151.440002,151.690002,150.710007,151.449997,131.487961,2176900
2015-07-30,151.000000,151.729996,150.330002,151.570007,131.592163,2119100
2015-07-31,152.529999,152.809998,151.029999,151.339996,131.392426,1619600
2015-08-03,150.789993,151.779999,148.940002,150.119995,130.333252,2355100
2015-08-04,150.929993,151.539993,150.110001,150.399994,130.576309,1811900
2015-08-05,151.850006,153.240005,150.919998,151.009995,131.105881,1765600
2015-08-06,150.889999,151.220001,148.899994,149.259995,129.586548,1764800
2015-08-07,148.479996,150.000000,148.160004,148.889999,129.265350,1668700
2015-08-10,150.000000,151.399994,149.889999,151.240005,131.305588,1571800
2015-08-11,150.000000,150.000000,148.259995,148.479996,128.909378,1810800
2015-08-12,147.240005,148.710007,146.070007,148.520004,128.944122,2036700
2015-08-13,148.000000,148.559998,147.080002,147.399994,127.971748,1793100
2015-08-14,147.660004,148.509995,147.320007,148.279999,128.735733,1401900
2015-08-17,147.429993,149.309998,146.360001,149.240005,129.569214,1648900
2015-08-18,148.630005,148.919998,147.880005,148.309998,128.761795,1705500
2015-08-19,146.199997,147.550003,145.279999,145.869995,127.524757,2525700
2015-08-20,144.509995,144.869995,143.339996,143.350006,125.321655,3281700
2015-08-21,143.520004,145.320007,141.919998,142.089996,124.220154,5442000
2015-08-24,137.119995,142.089996,134.000000,138.580002,121.151596,7359500
2015-08-25,141.860001,142.059998,137.389999,137.639999,120.329796,5435900
2015-08-26,140.000000,142.789993,138.529999,142.720001,124.770935,4562200
2015-08-27,143.750000,144.949997,141.330002,143.899994,125.802513,4104600
2015-08-28,143.020004,144.320007,142.800003,144.210007,126.073540,2664100
2015-08-31,143.000000,143.830002,142.020004,142.139999,124.263855,2514900
2015-09-01,139.479996,140.490005,137.940002,138.500000,121.081635,3671400
2015-09-02,140.539993,141.240005,139.240005,141.240005,123.477058,3312700
2015-09-03,141.940002,142.899994,141.309998,141.740005,123.914154,2606200
2015-09-04,139.940002,140.669998,139.160004,139.839996,122.253113,3195800
2015-09-08,142.050003,143.550003,141.520004,143.429993,125.391586,2432900
2015-09-09,144.860001,145.350006,140.570007,140.860001,123.144844,2642800
2015-09-10,141.000000,141.910004,140.149994,140.779999,123.074883,2031200
2015-09-11,140.610001,141.330002,139.770004,141.259995,123.494499,2505200
2015-09-14,141.520004,141.580002,140.029999,140.809998,123.101158,2277200
2015-09-15,141.559998,143.839996,141.039993,143.600006,125.540222,2690800
2015-09-16,143.509995,144.460007,143.210007,144.199997,126.064819,2060300
2015-09-17,143.809998,145.550003,142.520004,142.949997,124.971992,2855100
2015-09-18,141.169998,141.300003,139.210007,139.619995,122.060799,6526000
2015-09-21,140.500000,141.080002,139.350006,140.039993,122.427956,2492600
2015-09-22,138.270004,138.509995,137.250000,138.020004,120.662018,2775300
2015-09-23,138.529999,138.899994,136.860001,137.660004,120.347290,2684500
2015-09-24,136.630005,138.029999,135.389999,137.580002,120.277344,2690300
2015-09-25,139.619995,140.119995,138.570007,139.559998,122.008347,3767200
2015-09-28,138.300003,139.699997,138.300003,138.380005,120.976730,3468900
2015-09-29,138.619995,142.160004,138.429993,141.550003,123.748062,4946000
2015-09-30,142.520004,143.229996,140.500000,141.770004,123.940422,3619300
2015-10-01,142.210007,142.500000,139.580002,140.800003,123.092377,2486300
2015-10-02,139.080002,143.300003,138.570007,143.199997,125.190544,3064400
2015-10-05,144.300003,146.600006,143.630005,146.320007,127.918152,2987200
2015-10-06,145.990005,146.639999,145.399994,145.789993,127.454819,2256800
2015-10-07,146.740005,148.539993,146.130005,147.539993,128.984741,1954000
2015-10-08,146.649994,149.559998,146.589996,149.479996,130.680756,2008800
2015-10-09,149.559998,150.649994,149.300003,149.899994,131.047928,2294000
2015-10-12,150.259995,150.559998,149.539993,150.059998,131.187775,1429300
2015-10-13,148.910004,150.000000,148.729996,149.110001,130.357315,2027600
2015-10-14,149.000000,149.660004,148.179993,148.320007,129.666641,2260300
2015-10-15,149.639999,149.880005,148.020004,149.190002,130.427216,2588500
2015-10-16,149.770004,149.779999,147.479996,148.699997,129.998840,2490300
2015-10-19,147.970001,148.419998,147.229996,148.000000,129.386917,2004200
2015-10-20,147.449997,149.669998,147.130005,149.110001,130.357315,2409300
2015-10-21,149.500000,151.389999,148.899994,149.820007,130.977982,3009900
2015-10-22,151.339996,157.039993,150.649994,156.000000,136.380753,5111900
2015-10-23,156.539993,157.190002,154.500000,155.789993,136.197189,2997400
2015-10-26,156.059998,156.759995,155.639999,156.539993,136.852829,2136100
2015-10-27,156.000000,157.000000,155.080002,156.729996,137.018951,1970100
2015-10-28,156.490005,158.330002,156.199997,158.080002,138.199188,2724700
2015-10-29,157.750000,157.910004,156.880005,157.610001,137.788269,1484600
2015-10-30,157.800003,158.679993,157.210007,157.210007,137.438583,2672100
2015-11-02,157.509995,160.089996,157.339996,159.919998,139.807755,2701800
2015-11-03,159.479996,159.800003,158.669998,158.750000,138.784927,2972800
2015-11-04,159.000000,159.479996,158.610001,158.910004,138.924774,2254000
2015-11-05,159.380005,159.580002,158.270004,158.990005,138.994751,2023900
2015-11-06,158.020004,159.259995,157.729996,159.259995,139.230743,1860000
2015-11-09,158.669998,158.669998,156.750000,157.470001,137.665848,2421000
2015-11-10,157.229996,157.639999,156.429993,157.589996,137.770813,1962900
2015-11-11,157.860001,159.490005,157.539993,159.050003,139.047180,2518900
2015-11-12,157.779999,158.289993,156.160004,156.300003,136.643051,2305600
2015-11-13,156.000000,156.919998,155.600006,155.649994,136.074799,2434500
2015-11-16,155.610001,158.259995,155.610001,158.210007,138.312805,2395000
2015-11-17,158.360001,158.529999,156.520004,157.029999,137.281219,2393000
2015-11-18,156.179993,157.500000,156.080002,157.389999,138.499985,2226900
2015-11-19,157.630005,158.509995,156.710007,158.380005,139.371170,1518200
2015-11-20,158.679993,159.839996,158.339996,158.949997,139.872742,1891100
2015-11-23,158.899994,159.770004,158.160004,158.649994,139.608780,1430400
2015-11-24,157.369995,158.339996,156.889999,157.750000,138.816772,2100600
2015-11-25,158.059998,158.470001,157.630005,157.630005,138.711182,1184100
2015-11-27,157.509995,158.490005,156.940002,157.990005,139.028000,876100
2015-11-30,158.100006,158.470001,156.570007,156.580002,137.787231,2934200
2015-12-01,156.410004,157.669998,156.169998,156.899994,138.068817,2259000
2015-12-02,156.880005,157.250000,155.509995,155.699997,137.012833,2034700
2015-12-03,156.559998,156.899994,153.710007,154.380005,135.851257,2609500
2015-12-04,154.789993,158.389999,154.570007,158.220001,139.230377,2175800
2015-12-07,157.529999,158.000000,156.809998,157.750000,138.816772,2142800
2015-12-08,156.440002,157.860001,155.679993,156.789993,137.972000,2350400
2015-12-09,156.169998,158.240005,154.940002,156.050003,137.320801,2660800
2015-12-10,155.729996,158.690002,155.589996,157.520004,138.614380,2551200
2015-12-11,155.550003,156.399994,154.419998,154.830002,136.247208,2523200
2015-12-14,155.289993,157.770004,154.339996,157.630005,138.711182,3462200
2015-12-15,151.990005,153.020004,147.080002,148.130005,130.351395,8645900
2015-12-16,148.149994,150.539993,147.740005,149.949997,131.952957,4774100
2015-12-17,150.149994,150.860001,148.830002,148.850006,130.984985,3053900
2015-12-18,148.210007,148.600006,146.759995,146.919998,129.286636,5736400
2015-12-21,147.580002,148.330002,146.690002,147.479996,129.779388,2284400
2015-12-22,148.119995,149.490005,147.279999,148.970001,131.090576,2528700
2015-12-23,149.690002,151.580002,149.520004,151.160004,133.017715,2215300
2015-12-24,150.820007,151.800003,150.580002,151.190002,133.044128,848400
2015-12-28,151.130005,151.770004,150.270004,151.220001,133.070511,1275200
2015-12-29,152.199997,153.259995,152.000000,152.889999,134.540054,1824700
2015-12-30,152.789993,153.699997,151.729996,151.910004,133.677750,1553100
2015-12-31,151.729996,152.119995,150.630005,150.639999,132.560120,1607100
2016-01-04,148.050003,148.320007,145.399994,146.820007,129.198639,3277200
2016-01-05,146.820007,147.500000,145.610001,147.460007,129.761795,2688100
2016-01-06,145.589996,145.759995,143.419998,144.490005,127.148254,2997100
2016-01-07,142.520004,143.130005,140.630005,140.970001,124.050713,3553500
2016-01-08,141.360001,142.500000,140.220001,140.490005,123.628365,2664000
2016-01-11,140.970001,141.429993,139.410004,140.460007,123.601959,2775500
2016-01-12,141.360001,142.149994,139.130005,140.860001,123.953949,2363500
2016-01-13,140.889999,142.190002,138.539993,138.720001,122.070770,2598300
2016-01-14,139.740005,142.440002,138.860001,141.179993,124.235497,3720400
2016-01-15,138.300003,140.100006,137.210007,138.690002,122.044380,4683500
2016-01-19,140.100006,140.800003,137.410004,138.389999,121.780380,3399800
2016-01-20,136.949997,137.750000,134.639999,136.960007,120.521996,4136300
2016-01-21,136.960007,138.669998,136.149994,137.759995,121.225998,3355200
2016-01-22,140.139999,140.429993,138.080002,139.520004,122.774765,2979100
2016-01-25,138.960007,139.369995,137.529999,137.570007,121.058846,2805500
2016-01-26,141.789993,145.020004,140.330002,144.779999,127.403473,5129100
2016-01-27,144.949997,147.970001,144.050003,145.550003,128.081024,3596400
2016-01-28,146.160004,147.839996,145.220001,147.320007,129.638596,3067400
2016-01-29,148.240005,151.000000,148.000000,151.000000,132.876953,3993200
2016-02-01,149.330002,149.789993,148.100006,148.729996,130.879364,2701500
2016-02-02,147.589996,148.279999,146.050003,147.869995,130.122589,3581800
2016-02-03,149.360001,152.850006,148.960007,152.520004,134.214539,5766800
2016-02-04,152.419998,154.380005,151.779999,153.440002,135.024048,3458400
2016-02-05,153.199997,153.880005,151.820007,153.470001,135.050461,3368500
2016-02-08,151.630005,154.429993,151.009995,153.899994,135.428879,2505400
2016-02-09,152.949997,155.759995,152.449997,154.740005,136.168060,2968400
2016-02-10,154.429993,155.490005,152.119995,152.449997,135.122177,2911900
2016-02-11,149.910004,152.000000,149.000000,150.669998,133.544479,3182200
2016-02-12,150.669998,154.070007,150.669998,153.960007,136.460541,2292200
2016-02-16,155.000000,155.899994,154.259995,155.529999,137.852081,2140600
2016-02-17,156.000000,157.130005,155.600006,156.619995,138.818192,2156100
2016-02-18,156.350006,156.970001,155.970001,156.779999,138.960022,2010200
2016-02-19,157.000000,157.089996,155.869995,156.449997,138.667511,2121300
2016-02-22,156.449997,158.479996,156.449997,157.699997,139.775436,2207600
2016-02-23,157.630005,157.690002,155.169998,156.169998,138.419342,1922800
