Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,163.919998,164.250000,162.160004,162.559998,150.192535,970500
2015-07-28,163.410004,164.580002,162.000000,163.339996,150.913239,1584000
2015-07-29,170.600006,176.500000,167.179993,173.440002,160.244766,3107200
2015-07-30,172.860001,176.020004,172.360001,175.410004,162.064972,1656800
2015-07-31,175.850006,175.850006,172.729996,173.009995,159.847488,1742300
2015-08-03,172.850006,173.360001,170.669998,172.160004,159.062195,1346300
2015-08-04,172.600006,173.210007,171.580002,172.119995,159.025223,1392300
2015-08-05,173.050003,174.520004,172.910004,173.679993,160.466537,1120900
2015-08-06,173.940002,174.110001,171.699997,172.869995,159.718201,875200
2015-08-07,172.720001,173.320007,171.029999,172.649994,159.514908,872300
2015-08-10,174.139999,175.839996,173.740005,175.250000,161.917130,828300
2015-08-11,173.270004,173.699997,172.169998,173.270004,160.087723,767200
2015-08-12,171.979996,172.300003,169.610001,171.559998,158.507797,1152800
2015-08-13,172.089996,173.619995,172.000000,172.860001,159.708954,626000
2015-08-14,173.029999,174.350006,172.259995,174.179993,160.928482,718200
2015-08-17,173.600006,174.869995,172.350006,174.710007,161.418182,685700
2015-08-18,174.429993,175.779999,174.339996,175.500000,162.148056,727100
2015-08-19,174.949997,176.830002,173.600006,175.619995,162.258942,1024400
2015-08-20,173.949997,174.550003,172.589996,172.589996,159.459488,1118800
2015-08-21,171.179993,171.740005,165.210007,165.350006,152.770294,1985300
2015-08-24,152.309998,165.910004,152.309998,160.020004,147.845825,2293900
2015-08-25,163.660004,164.330002,159.070007,159.690002,147.540894,1760800
2015-08-26,162.800003,164.740005,159.139999,164.479996,151.966461,1479700
2015-08-27,165.259995,167.949997,163.770004,167.080002,155.123138,1168700
2015-08-28,166.580002,167.429993,164.490005,165.539993,153.693375,979200
2015-08-31,165.500000,165.830002,163.600006,163.740005,152.022202,974800
2015-09-01,160.750000,161.690002,158.839996,159.369995,147.964905,1611100
2015-09-02,160.949997,164.630005,160.470001,164.610001,152.829910,1081300
2015-09-03,164.949997,166.910004,164.330002,164.649994,152.867050,1055200
2015-09-04,162.929993,163.250000,161.050003,162.300003,150.685242,1197900
2015-09-08,164.889999,168.300003,164.520004,168.009995,155.986603,1721700
