Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,201.820007,203.559998,201.449997,202.919998,169.767334,504600
2015-07-28,203.240005,203.910004,202.100006,203.410004,170.177292,436800
2015-07-29,203.289993,203.330002,201.929993,202.929993,169.775726,689900
2015-07-30,203.000000,203.429993,200.320007,203.020004,169.851028,561800
2015-07-31,204.250000,206.729996,203.399994,205.179993,171.658096,618900
2015-08-03,205.179993,206.210007,204.789993,205.520004,171.942566,496200
2015-08-04,201.919998,207.339996,201.550003,205.380005,171.825424,466100
2015-08-05,206.360001,206.919998,205.089996,205.630005,172.034622,595900
2015-08-06,205.630005,207.750000,204.490005,207.490005,173.590729,528300
2015-08-07,207.970001,209.570007,207.199997,208.809998,174.695038,574000
2015-08-10,210.000000,210.940002,206.860001,207.449997,173.557251,494500
2015-08-11,207.240005,210.500000,207.240005,209.100006,174.937683,547700
2015-08-12,208.649994,210.589996,208.270004,210.529999,176.134048,490000
2015-08-13,210.070007,213.339996,209.289993,212.550003,177.824005,739300
2015-08-14,212.210007,213.970001,210.850006,213.729996,178.811218,465900
2015-08-17,213.990005,215.460007,213.039993,215.350006,180.166550,368800
2015-08-18,215.350006,217.059998,214.800003,216.850006,181.421494,537400
2015-08-19,215.660004,217.990005,215.110001,216.860001,181.429871,553100
2015-08-20,215.800003,217.380005,215.039993,215.309998,180.133087,515300
2015-08-21,214.820007,215.740005,212.500000,212.509995,177.790573,784700
2015-08-24,206.000000,210.000000,201.089996,202.210007,169.173370,1494700
2015-08-25,207.229996,211.100006,196.610001,196.960007,164.781097,1017000
2015-08-26,200.259995,203.679993,198.350006,203.199997,170.001617,783200
2015-08-27,204.220001,210.869995,203.309998,208.009995,174.025757,876700
2015-08-28,207.720001,207.919998,205.580002,206.160004,172.477997,979100
2015-08-31,205.940002,206.949997,201.050003,201.270004,168.386902,1182500
2015-09-01,199.410004,202.039993,197.380005,199.000000,166.487778,1045100
2015-09-02,198.820007,203.100006,198.820007,202.350006,169.290466,623500
2015-09-03,203.440002,204.610001,202.339996,203.250000,170.043442,710300
2015-09-04,202.210007,202.929993,198.600006,199.550003,166.947922,622600
2015-09-08,202.500000,204.419998,201.279999,203.880005,170.570496,505600
2015-09-09,205.990005,206.360001,199.869995,200.240005,167.525208,795200
2015-09-10,200.000000,202.339996,199.130005,200.210007,167.500107,654400
2015-09-11,198.559998,202.240005,198.559998,202.190002,170.605240,594200
2015-09-14,202.210007,202.539993,201.009995,201.679993,170.174896,375200
2015-09-15,202.130005,204.479996,200.740005,203.919998,172.065002,411400
2015-09-16,203.869995,206.080002,203.039993,205.470001,173.372849,378200
2015-09-17,205.399994,210.679993,204.130005,207.410004,175.009796,679600
2015-09-18,205.419998,210.750000,205.039993,206.970001,174.638535,1148400
2015-09-21,207.339996,210.100006,206.380005,209.520004,176.790207,485300
2015-09-22,209.270004,209.770004,206.559998,207.240005,174.866348,448800
2015-09-23,207.179993,209.220001,206.369995,208.399994,175.845154,644000
2015-09-24,208.500000,208.970001,204.630005,205.660004,173.533188,646000
2015-09-25,206.250000,210.259995,205.669998,209.259995,176.570801,606300
2015-09-28,209.050003,209.330002,205.820007,207.169998,174.807266,642200
2015-09-29,206.970001,209.820007,206.639999,209.259995,176.570801,881700
2015-09-30,211.059998,212.110001,209.520004,211.630005,178.570541,706100
2015-10-01,212.720001,214.070007,211.039993,213.949997,180.528168,590000
2015-10-02,213.229996,216.389999,210.869995,216.210007,182.435135,626600
2015-10-05,217.509995,220.360001,216.220001,220.110001,185.725876,673200
2015-10-06,220.080002,220.509995,216.710007,217.149994,183.228271,474900
2015-10-07,217.330002,218.910004,214.990005,217.089996,183.177643,894700
2015-10-08,217.020004,218.940002,215.389999,218.759995,184.586777,549300
2015-10-09,218.919998,218.919998,215.639999,217.179993,183.253601,670500
2015-10-12,217.320007,219.979996,217.320007,219.270004,185.017120,423400
2015-10-13,218.169998,219.460007,216.130005,217.059998,183.152298,416200
2015-10-14,217.639999,218.550003,216.389999,217.050003,183.143906,664800
2015-10-15,217.919998,219.570007,217.250000,219.570007,185.270264,457800
