Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,116.599998,116.750000,115.169998,116.320000,104.046135,1053900
2015-07-28,117.510002,119.400002,116.489998,119.230003,106.649086,1430200
2015-07-29,117.570000,117.570000,115.000000,116.360001,104.081917,1857400
2015-07-30,115.389999,118.110001,114.650002,117.099998,104.743820,1244600
2015-07-31,117.940002,118.459999,116.559998,116.779999,104.457596,702900
2015-08-03,117.050003,117.129997,114.669998,115.309998,103.142708,782800
2015-08-04,115.650002,116.410004,114.730003,114.959999,102.829643,750900
2015-08-05,115.510002,117.389999,115.510002,116.029999,103.786720,741400
2015-08-06,116.279999,117.339996,115.190002,116.419998,104.135567,921600
2015-08-07,115.959999,116.889999,114.910004,115.900002,103.670441,840200
2015-08-10,116.779999,118.989998,116.419998,118.940002,106.389679,1116100
2015-08-11,117.580002,117.879997,116.279999,116.739998,104.421814,904700
2015-08-12,115.680000,116.400002,114.559998,115.839996,103.616783,1238800
2015-08-13,114.910004,115.629997,113.510002,115.190002,103.616791,606000
2015-08-14,115.089996,116.489998,114.790001,116.169998,104.498329,512500
2015-08-17,115.330002,117.150002,114.570000,117.000000,105.244919,481500
2015-08-18,116.370003,116.699997,115.349998,115.680000,104.057549,628400
2015-08-19,115.000000,115.989998,113.430000,114.010002,102.555344,749200
2015-08-20,112.959999,113.949997,111.230003,111.230003,100.054619,833000
2015-08-21,111.000000,111.730003,108.849998,108.940002,97.994728,1020000
2015-08-24,105.900002,108.849998,101.459999,105.169998,94.603493,1733100
2015-08-25,107.910004,107.910004,103.519997,103.570000,93.164238,1063800
2015-08-26,106.260002,107.300003,104.629997,107.099998,96.339592,977500
2015-08-27,108.160004,111.440002,107.940002,111.220001,100.045647,1292300
2015-08-28,110.660004,112.180000,109.139999,111.669998,100.450439,764700
2015-08-31,111.339996,112.419998,110.690002,111.830002,100.594360,1074200
2015-09-01,109.000000,109.830002,107.010002,107.550003,96.744377,1429600
2015-09-02,109.169998,109.209999,107.239998,108.349998,97.464012,1679800
2015-09-03,108.540001,109.570000,107.629997,107.989998,97.140167,1090000
2015-09-04,106.720001,107.279999,105.839996,106.260002,95.583984,723600
2015-09-08,107.750000,109.639999,107.449997,109.620003,98.606384,874200
2015-09-09,109.779999,110.480003,106.010002,106.190002,95.521011,945400
2015-09-10,106.000000,106.459999,104.500000,105.150002,94.585503,1074400
2015-09-11,105.040001,106.750000,104.480003,105.900002,95.260162,1114500
2015-09-14,105.739998,106.279999,104.690002,104.940002,94.396599,668800
2015-09-15,105.760002,106.599998,104.760002,106.550003,95.844833,1036200
2015-09-16,106.470001,107.839996,106.269997,107.580002,96.771362,1299600
2015-09-17,107.349998,107.610001,105.510002,105.839996,95.206184,1509700
2015-09-18,104.580002,104.769997,103.300003,103.790001,93.362144,1685000
