Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,157.889999,159.679993,156.809998,157.089996,141.838440,503200
2015-07-28,157.089996,161.330002,157.089996,161.130005,145.486145,450700
2015-07-29,161.770004,164.380005,160.789993,164.220001,148.276169,346500
2015-07-30,163.729996,164.820007,162.630005,164.380005,148.420609,243300
2015-07-31,165.000000,165.860001,164.360001,164.800003,148.799850,243700
2015-08-03,164.850006,165.279999,162.500000,163.610001,147.725388,302600
2015-08-04,163.250000,166.000000,163.250000,165.580002,149.504120,344000
2015-08-05,166.820007,169.070007,166.690002,167.389999,151.138397,491800
2015-08-06,167.380005,168.279999,165.460007,165.880005,149.775009,284700
2015-08-07,165.800003,166.940002,164.830002,166.070007,149.946594,319000
2015-08-10,167.720001,169.059998,167.210007,167.509995,151.246735,368700
2015-08-11,166.229996,166.559998,164.649994,165.139999,149.106873,396500
2015-08-12,163.889999,165.259995,162.479996,165.110001,149.079758,291800
2015-08-13,164.839996,167.169998,164.839996,166.529999,150.361923,269600
2015-08-14,166.570007,168.199997,166.199997,168.070007,151.752365,184300
2015-08-17,168.080002,169.690002,166.899994,169.509995,153.052597,313400
2015-08-18,169.770004,170.699997,169.690002,169.990005,153.486008,234500
2015-08-19,169.300003,170.389999,168.119995,169.479996,153.025452,318500
2015-08-20,167.960007,169.070007,166.580002,166.690002,150.506363,352600
2015-08-21,164.539993,166.580002,160.869995,160.919998,145.760010,894800
2015-08-24,152.869995,159.500000,150.479996,154.259995,139.727448,774900
2015-08-25,157.470001,157.660004,151.449997,151.479996,137.209305,714300
2015-08-26,154.940002,155.850006,150.869995,155.690002,141.022705,587600
2015-08-27,157.869995,160.429993,156.970001,160.050003,144.971985,480600
2015-08-28,159.289993,160.940002,158.740005,159.889999,144.827057,304100
2015-08-31,158.889999,160.990005,158.490005,159.770004,144.718353,280200
2015-09-01,156.990005,156.990005,153.520004,154.440002,139.890503,524000
2015-09-02,155.789993,156.009995,153.419998,155.419998,140.778122,472300
2015-09-03,155.800003,158.270004,155.610001,157.410004,142.580704,402900
2015-09-04,154.750000,156.360001,153.750000,154.399994,139.854233,329400
2015-09-08,157.360001,159.779999,156.699997,159.740005,144.691193,292200
2015-09-09,160.889999,161.940002,157.419998,157.660004,142.807114,209400
2015-09-10,157.419998,159.110001,156.970001,157.639999,142.789001,266900
2015-09-11,156.990005,158.300003,156.690002,157.860001,142.988266,353400
2015-09-14,157.880005,158.300003,156.910004,157.919998,143.042648,383600
2015-09-15,158.550003,159.520004,157.800003,158.539993,143.604218,442900
2015-09-16,158.720001,159.820007,158.179993,159.089996,144.102402,467100
2015-09-17,159.070007,161.440002,158.559998,159.149994,144.156754,358400
2015-09-18,157.309998,158.309998,155.399994,155.580002,140.923096,1644900
2015-09-21,156.839996,158.279999,156.039993,156.990005,142.200241,327100
2015-09-22,155.059998,155.559998,154.009995,155.289993,140.660400,359000
2015-09-23,155.580002,155.580002,153.429993,153.770004,139.283585,359800
2015-09-24,152.330002,154.220001,150.570007,152.369995,138.015488,538100
2015-09-25,153.479996,154.520004,152.809998,153.729996,139.247360,385600
2015-09-28,152.509995,152.990005,150.039993,150.639999,136.448486,324600
2015-09-29,151.539993,151.699997,147.979996,148.899994,134.872437,576100
2015-09-30,150.320007,151.750000,148.729996,150.940002,136.720230,542100
2015-10-01,151.110001,152.330002,148.820007,149.610001,135.515488,522600
2015-10-02,147.630005,151.309998,146.520004,151.309998,137.055359,712200
2015-10-05,153.449997,156.119995,153.449997,155.179993,140.560745,687300
2015-10-06,155.169998,155.960007,154.100006,154.570007,140.008224,302700
2015-10-07,155.240005,157.449997,154.990005,157.300003,142.481064,448300
2015-10-08,156.539993,162.679993,156.199997,161.720001,146.484665,538400
2015-10-09,161.990005,163.199997,161.169998,161.889999,146.638657,265800
2015-10-12,161.979996,163.740005,161.460007,163.600006,148.187546,252200
2015-10-13,162.850006,164.000000,161.470001,161.789993,146.548050,235000
2015-10-14,161.449997,162.860001,158.630005,158.949997,143.975601,538700
2015-10-15,159.550003,160.770004,157.559998,160.600006,145.470154,393600
2015-10-16,160.809998,161.070007,159.139999,159.970001,144.899506,244400
2015-10-19,159.270004,160.199997,158.699997,159.779999,144.727417,222900
2015-10-20,159.559998,161.250000,158.009995,159.339996,144.328888,408500
2015-10-21,160.100006,161.839996,159.000000,160.080002,144.999161,508200
2015-10-22,162.589996,166.979996,161.600006,164.110001,148.649506,571400
2015-10-23,165.080002,165.850006,162.619995,164.000000,148.549850,521100
2015-10-26,163.770004,164.660004,162.080002,162.360001,147.064346,343900
2015-10-27,161.610001,162.039993,160.369995,160.899994,145.741898,329700
2015-10-28,161.389999,165.110001,161.179993,164.830002,149.301651,374700
2015-10-29,164.649994,165.779999,163.369995,164.800003,149.274460,272100
2015-10-30,164.839996,166.869995,164.000000,165.889999,150.261810,359000
2015-11-02,165.860001,167.240005,164.320007,166.830002,151.113235,242700
2015-11-03,166.279999,168.270004,165.750000,167.800003,151.991852,378900
2015-11-04,168.130005,169.740005,167.919998,169.009995,153.087799,296600
2015-11-05,169.589996,169.990005,167.699997,169.449997,153.486404,264300
2015-11-06,169.279999,170.509995,167.970001,170.169998,154.138596,256600
2015-11-09,169.779999,170.100006,168.509995,169.330002,153.377731,387500
2015-11-10,168.729996,170.410004,168.009995,170.330002,154.283493,376800
2015-11-11,170.330002,171.389999,169.589996,169.809998,153.812500,245900
2015-11-12,168.100006,169.869995,166.779999,166.830002,151.113235,350500
2015-11-13,166.369995,167.729996,165.279999,165.880005,150.252747,319000
2015-11-16,165.270004,166.710007,164.610001,165.899994,150.270859,557300
2015-11-17,166.389999,166.830002,163.800003,164.300003,148.821579,415500
2015-11-18,165.149994,167.880005,164.380005,167.610001,151.819763,377100
2015-11-19,168.100006,169.360001,168.000000,168.820007,152.915756,323400
2015-11-20,168.869995,169.759995,168.139999,168.649994,153.315735,328400
2015-11-23,168.500000,169.580002,167.210007,167.600006,152.361252,398200
2015-11-24,166.309998,169.559998,165.910004,169.220001,153.833939,375000
2015-11-25,169.720001,171.699997,169.229996,170.889999,155.352097,322000
2015-11-27,171.240005,171.910004,169.770004,171.759995,156.142975,114600
2015-11-30,172.460007,173.139999,171.479996,172.160004,156.506607,413400
2015-12-01,172.479996,173.699997,172.130005,173.470001,157.697479,263800
2015-12-02,173.399994,173.869995,171.899994,171.990005,156.352081,304000
2015-12-03,172.380005,173.130005,169.970001,170.500000,154.997559,500900
2015-12-04,170.940002,173.929993,170.339996,173.820007,158.015686,236700
2015-12-07,173.669998,174.229996,172.320007,174.089996,158.261139,396300
2015-12-08,172.179993,174.100006,170.460007,170.720001,155.197510,514200
2015-12-09,169.649994,172.080002,168.490005,169.429993,154.024826,387600
2015-12-10,169.289993,170.899994,169.289993,169.690002,154.261185,349200
2015-12-11,167.979996,168.360001,166.440002,167.130005,151.933960,372600
2015-12-14,167.539993,169.020004,166.809998,168.339996,153.033951,340100
2015-12-15,169.610001,170.139999,167.669998,168.779999,153.433929,433000
2015-12-16,170.080002,171.729996,169.029999,171.259995,155.688461,337200
2015-12-17,171.729996,172.389999,169.339996,170.449997,154.952087,333400
2015-12-18,169.210007,170.570007,166.649994,166.690002,151.533966,668300
2015-12-21,167.789993,169.660004,166.100006,168.470001,153.152145,433400
2015-12-22,169.600006,170.910004,167.940002,170.289993,154.806610,251200
2015-12-23,171.110001,172.960007,170.589996,172.360001,156.688431,446700
2015-12-24,172.279999,172.559998,171.259995,171.860001,156.233902,106300
2015-12-28,171.360001,172.399994,170.139999,172.100006,156.452087,207400
2015-12-29,173.529999,174.520004,172.330002,173.910004,158.097504,178200
2015-12-30,173.789993,174.509995,172.289993,172.419998,156.742996,140900
2015-12-31,172.000000,173.220001,171.339996,171.429993,155.843002,165400
2016-01-04,168.789993,169.500000,166.500000,168.529999,153.206680,413800
2016-01-05,168.940002,169.949997,167.100006,168.339996,153.033951,349300
2016-01-06,166.289993,168.610001,166.039993,167.789993,152.533920,462600
2016-01-07,165.000000,166.240005,163.820007,164.240005,149.306702,399700
2016-01-08,165.110001,166.139999,162.020004,162.520004,147.743134,468200
2016-01-11,163.130005,163.910004,160.649994,163.050003,148.224915,430500
2016-01-12,164.250000,165.550003,162.529999,164.830002,149.843079,383100
2016-01-13,165.000000,165.589996,161.380005,161.509995,146.824951,478900
2016-01-14,161.899994,164.039993,159.509995,163.080002,148.252182,418200
2016-01-15,159.029999,161.119995,155.089996,157.300003,142.997772,714500
2016-01-19,158.000000,158.119995,155.740005,155.919998,141.743225,840600
2016-01-20,153.809998,154.770004,147.509995,152.809998,138.915970,934600
2016-01-21,152.520004,153.910004,149.539993,150.509995,136.825104,846500
2016-01-22,152.139999,154.250000,150.589996,153.100006,139.179626,630000
2016-01-25,153.000000,154.600006,152.559998,153.429993,139.479614,829600
2016-01-26,154.630005,159.179993,154.279999,159.059998,144.597733,472800
2016-01-27,158.449997,161.940002,157.320007,158.100006,143.725006,408600
