Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,92.800003,93.209999,90.540001,90.820000,81.428192,1061200
2015-07-28,91.110001,92.290001,90.070000,91.989998,82.477219,933500
2015-07-29,92.540001,94.800003,92.339996,94.379997,84.620064,1342600
2015-07-30,94.239998,95.309998,93.970001,95.000000,85.175949,856800
2015-07-31,95.500000,95.989998,95.019997,95.699997,85.803551,1031800
2015-08-03,95.910004,95.949997,93.599998,94.019997,84.297287,1111400
2015-08-04,94.330002,95.639999,94.000000,94.790001,84.987656,647600
2015-08-05,95.629997,96.300003,94.739998,94.820000,85.014557,689300
2015-08-06,94.680000,94.959999,92.629997,93.260002,83.615868,838400
2015-08-07,93.209999,93.500000,92.519997,93.370003,83.714500,494600
2015-08-10,93.949997,96.430000,93.660004,95.610001,85.722855,1254700
2015-08-11,93.900002,94.930000,92.730003,93.599998,83.920715,1661800
2015-08-12,92.389999,92.389999,88.650002,89.750000,80.468834,2388700
2015-08-13,89.580002,90.800003,89.540001,90.129997,80.809547,1164200
2015-08-14,90.180000,91.019997,89.379997,90.330002,80.988869,1383100
2015-08-17,90.050003,91.199997,89.269997,90.970001,81.562691,628400
2015-08-18,91.050003,92.099998,90.980003,91.550003,82.082718,754200
2015-08-19,91.809998,92.199997,90.650002,91.290001,81.849594,719900
2015-08-20,90.690002,91.500000,88.820000,88.989998,79.787445,1366700
2015-08-21,88.349998,88.800003,85.879997,85.889999,77.008018,1906500
2015-08-24,82.639999,84.980003,81.500000,82.989998,74.407913,3093400
2015-08-25,86.830002,86.830002,81.820000,81.839996,73.376839,2061200
2015-08-26,83.370003,85.250000,82.769997,85.080002,76.281776,2461200
2015-08-27,81.639999,85.239998,81.500000,83.290001,74.676903,5806400
2015-08-28,82.309998,84.040001,81.860001,83.610001,74.963814,1987200
2015-08-31,82.989998,83.830002,82.150002,82.250000,73.744438,1312800
2015-09-01,81.000000,81.389999,79.610001,79.940002,71.673317,1533100
2015-09-02,81.080002,82.120003,80.449997,81.800003,73.340958,1380100
2015-09-03,81.639999,82.629997,80.989998,81.379997,72.964394,1006600
2015-09-04,80.279999,81.290001,79.889999,80.309998,72.005043,934900
2015-09-08,81.669998,82.010002,80.599998,81.870003,73.403732,872200
2015-09-09,82.459999,83.449997,80.769997,80.959999,72.587814,738600
2015-09-10,80.279999,81.110001,79.980003,80.199997,71.906433,773500
2015-09-11,79.959999,80.500000,79.080002,80.099998,71.816765,1103300
2015-09-14,80.070000,80.500000,79.320000,79.599998,71.368454,1071500
2015-09-15,79.959999,80.570000,79.290001,80.320000,72.014023,1208700
2015-09-16,80.620003,81.529999,79.910004,81.440002,73.018196,1443000
2015-09-17,81.150002,82.180000,80.400002,80.610001,72.630753,1161500
2015-09-18,79.410004,80.290001,78.900002,79.349998,71.495483,1892500
2015-09-21,79.750000,80.190002,78.989998,79.370003,71.513504,1150400
2015-09-22,78.349998,78.879997,77.309998,78.709999,70.918823,1328200
2015-09-23,78.980003,79.209999,78.029999,78.639999,70.855759,756700
2015-09-24,77.959999,78.050003,76.970001,77.910004,70.198021,867200
2015-09-25,78.730003,78.790001,77.059998,77.379997,69.720482,770800
2015-09-28,76.660004,76.860001,74.279999,74.879997,67.467964,1368200
2015-09-29,75.169998,76.190002,74.760002,75.199997,67.756264,955600
2015-09-30,76.029999,77.489998,75.400002,77.220001,69.576324,1242900
2015-10-01,77.339996,77.449997,75.970001,76.580002,68.999672,1200800
2015-10-02,75.739998,77.959999,75.000000,77.900002,70.189003,992300
2015-10-05,78.709999,80.620003,78.650002,80.250000,72.306419,1385200
2015-10-06,80.150002,80.540001,79.389999,79.860001,71.955002,847800
2015-10-07,80.809998,81.989998,79.510002,80.209999,72.270355,1139000
2015-10-08,79.760002,81.910004,79.639999,81.669998,73.585838,1035200
2015-10-09,81.860001,82.449997,80.959999,81.400002,73.342575,817200
2015-10-12,81.389999,81.699997,80.199997,80.540001,72.567696,842600
2015-10-13,80.050003,80.279999,78.690002,78.779999,70.981911,1236600
2015-10-14,79.059998,79.820000,77.870003,78.809998,71.008934,868600
2015-10-15,78.949997,79.389999,78.449997,79.269997,71.423416,1315600
2015-10-16,79.669998,79.940002,78.650002,79.029999,71.207146,1107500
2015-10-19,78.750000,80.379997,78.620003,80.040001,72.117188,1123700
2015-10-20,79.760002,81.050003,79.739998,79.900002,71.991035,963100
2015-10-21,80.550003,80.860001,78.959999,79.129997,71.297256,725900
2015-10-22,79.169998,79.300003,78.000000,79.250000,71.405373,1505200
2015-10-23,79.820000,79.980003,77.889999,78.610001,70.828735,1668200
2015-10-26,78.510002,79.169998,77.779999,78.889999,71.081024,1212400
2015-10-27,78.660004,79.589996,78.180000,79.550003,71.675690,1326800
2015-10-28,79.730003,81.750000,79.480003,81.209999,73.171371,1324000
2015-10-29,80.849998,82.169998,80.540001,81.309998,73.261482,1223000
2015-10-30,81.099998,82.830002,80.930000,82.440002,74.279602,1471800
2015-11-02,82.580002,83.320000,81.830002,82.699997,74.513863,1091400
2015-11-03,82.440002,84.010002,82.279999,83.400002,75.144600,884900
