Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,40.980000,40.980000,40.470001,40.529999,40.161938,2316300
2015-07-28,41.639999,43.150002,41.040001,42.869999,42.480694,6112800
2015-07-29,43.040001,44.099998,42.689999,44.000000,43.600441,4194900
2015-07-30,43.689999,44.389999,43.590000,44.180000,43.778812,2544000
2015-07-31,44.450001,44.450001,43.590000,43.700001,43.303165,3294900
2015-08-03,43.660000,43.680000,43.099998,43.240002,42.847347,2274400
2015-08-04,43.270000,43.669998,43.009998,43.139999,42.748245,1294700
2015-08-05,43.400002,43.820000,43.139999,43.259998,42.867161,1093000
2015-08-06,43.340000,43.380001,42.570000,42.910000,42.520344,2206300
2015-08-07,42.770000,42.930000,42.310001,42.450001,42.064518,1146500
2015-08-10,43.020000,43.939999,42.900002,43.849998,43.451801,1256200
2015-08-11,43.000000,43.509998,42.700001,42.959999,42.569889,1336300
2015-08-12,42.299999,42.610001,41.720001,42.529999,42.143787,1524900
2015-08-13,42.459999,43.160000,42.279999,42.970001,42.579784,1023100
2015-08-14,42.950001,43.910000,42.830002,43.570000,43.174335,1852600
2015-08-17,43.520000,43.880001,42.900002,43.709999,43.313061,1026300
2015-08-18,43.529999,43.880001,43.230000,43.689999,43.293251,934300
2015-08-19,43.240002,43.820000,42.880001,43.400002,43.005886,1277600
2015-08-20,43.040001,43.450001,41.709999,41.730000,41.351051,1801600
2015-08-21,41.009998,41.160000,39.759998,39.759998,39.398930,3267500
2015-08-24,36.060001,40.000000,32.200001,38.389999,38.041378,3384600
2015-08-25,39.430000,40.630001,36.950001,37.000000,36.663998,3079700
2015-08-26,37.990002,38.080002,36.689999,38.000000,37.654922,3327600
2015-08-27,38.540001,39.450001,38.009998,39.410000,39.052124,2969600
2015-08-28,39.250000,39.820000,39.060001,39.709999,39.349403,2139900
2015-08-31,39.560001,39.639999,38.750000,38.799999,38.447666,2002200
2015-09-01,37.930000,38.919998,36.810001,37.169998,36.832455,2864900
2015-09-02,38.570000,38.990002,38.009998,38.580002,38.229660,3033400
2015-09-03,38.709999,39.430000,38.610001,38.799999,38.447666,2126600
2015-09-04,38.200001,38.919998,37.900002,38.650002,38.299023,2667700
2015-09-08,39.430000,40.529999,39.259998,40.259998,39.894405,4031000
2015-09-09,40.660000,41.189999,40.200001,40.270000,39.924141,3712400
2015-09-10,40.330002,40.570000,39.939999,40.380001,40.033207,1797500
2015-09-11,40.240002,40.529999,40.000000,40.509998,40.162075,1208000
2015-09-14,40.450001,40.540001,40.169998,40.320000,39.973709,1624000
2015-09-15,40.520000,41.169998,40.250000,40.930000,40.578472,1918200
2015-09-16,40.919998,41.279999,40.349998,41.220001,40.865990,1996000
2015-09-17,41.200001,41.480000,40.549999,40.669998,40.320702,1732700
2015-09-18,40.189999,40.189999,39.430000,39.580002,39.240063,3998500
2015-09-21,39.680000,40.099998,39.380001,39.560001,39.220242,1950600
2015-09-22,38.490002,38.970001,35.919998,38.529999,38.199085,2819100
2015-09-23,38.700001,38.750000,37.939999,38.080002,37.752956,1633300
