Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,100.029999,101.260002,98.099998,99.230003,88.823296,2229300
2015-07-28,98.889999,99.989998,97.379997,98.010002,87.731239,2623600
2015-07-29,98.169998,99.800003,95.870003,96.029999,85.958885,4079600
2015-07-30,99.239998,104.699997,99.010002,104.120003,93.200462,5069300
2015-07-31,103.919998,105.430000,101.809998,103.230003,92.403809,2847300
2015-08-03,103.099998,103.720001,100.000000,100.800003,90.228630,2355400
2015-08-04,101.099998,102.300003,99.330002,100.300003,89.781082,1819000
2015-08-05,101.010002,103.709999,100.800003,101.269997,90.649353,1776900
2015-08-06,100.720001,102.610001,99.989998,100.699997,90.139145,1818500
2015-08-07,100.430000,103.779999,100.419998,103.139999,92.783936,1967900
2015-08-10,104.870003,104.989998,102.699997,104.000000,93.557564,2365300
2015-08-11,102.000000,102.139999,98.610001,99.529999,89.536392,2669000
2015-08-12,97.220001,97.839996,94.129997,97.449997,87.665253,2760000
2015-08-13,97.580002,98.230003,94.589996,94.620003,85.119415,2229700
2015-08-14,94.650002,95.459999,92.040001,92.169998,82.915405,2178600
2015-08-17,92.000000,93.480003,90.910004,91.910004,82.681511,2469400
2015-08-18,91.639999,92.000000,90.379997,90.900002,81.772934,1791100
2015-08-19,90.360001,91.139999,89.180000,90.250000,81.188179,2241600
2015-08-20,89.000000,90.000000,85.500000,85.580002,76.987099,2533100
2015-08-21,83.599998,84.730003,81.330002,81.769997,73.559639,3791600
2015-08-24,75.000000,78.150002,72.750000,76.480003,68.800827,5951100
2015-08-25,79.309998,79.610001,75.599998,75.709999,68.108109,3432500
2015-08-26,77.610001,77.660004,71.250000,74.290001,66.830696,4655600
2015-08-27,76.150002,78.980003,75.680000,78.519997,70.635986,3397400
2015-08-28,77.680000,79.330002,77.040001,78.199997,70.348091,2183100
2015-08-31,77.230003,77.680000,74.919998,75.050003,67.514404,2863000
2015-09-01,72.900002,73.639999,70.510002,70.989998,63.862022,3907800
2015-09-02,73.339996,73.500000,70.879997,72.430000,65.157463,4612300
2015-09-03,71.889999,74.160004,71.889999,73.820000,66.407890,2928000
2015-09-04,72.379997,74.550003,72.339996,73.070000,65.733192,3084900
2015-09-08,74.540001,76.480003,74.320000,74.849998,67.334473,4006100
2015-09-09,75.970001,76.750000,73.000000,73.040001,65.706207,3621600
2015-09-10,71.949997,72.050003,68.110001,69.669998,62.674561,7798500
2015-09-11,69.599998,70.720001,67.239998,67.720001,60.920364,4630600
2015-09-14,67.500000,68.650002,66.720001,68.470001,61.595078,3026200
2015-09-15,67.940002,70.449997,67.870003,70.349998,63.286297,2475900
